Dates	Time	Flow	fMeHg
10d	8s	6n	6n
2016-01-20	13:30	476	0.070
2016-01-23	11:00	56	0.070
2016-01-24	9:38	117	0.077
2016-02-02	15:00	498	0.140
2016-02-03	14:00	430	0.250
2016-02-04	12:40	256	0.250
2016-03-07	13:40	541	0.060
2016-03-08	14:20	551	0.077
2016-03-10	15:49	663	0.109
2016-03-12	13:23	4378	0.103
2016-03-13	12:15	3688	0.093
2016-03-14	12:44	3190	0.090
2016-03-15	12:25	2637	0.095
2016-03-17	13:35	2840	0.062
2016-04-06	13:00	473	0.202
2016-12-15	16:40	79	0.080
2016-12-16	17:20	233	0.070
2017-01-05	14:45	205	0.073
2017-01-09	17:30	12451	0.067
2017-01-10	14:30	3801	0.060
2017-01-11	16:00	13750	0.047
2017-01-14	15:35	3891	0.060
2017-01-19	12:30	6730	0.049
2017-01-20	10:45	6730	0.045
2017-01-21	9:25	10109	0.040
2017-01-23	11:55	9896	0.041
2017-01-26	11:30	3453	0.041
2017-02-01	13:00	3053	0.029
2017-02-08	13:50	11060	0.060
2017-02-10	14:45	11505	0.078
2017-02-21	13:25	13460	0.064
2017-03-16	15:35	2942	0.045
2017-04-04	15:44	259	0.128
2017-04-26	14:30	223	0.137
