Dates	Time	Flow	pMeHg
10d	8s	6n	6n
2016-01-20	13:30	476	0.25
2016-01-23	11:00	56	0.05
2016-01-24	9:38	117	0.05
2016-02-02	15:00	498	0.25
2016-02-03	14:00	430	0.37
2016-02-04	12:40	256	0.83
2016-03-07	13:40	541	0.47
2016-03-08	14:20	551	0.59
2016-03-10	15:49	663	0.11
2016-03-12	13:23	4378	0.26
2016-03-13	12:15	3688	0.23
2016-03-14	12:44	3190	0.32
2016-03-15	12:25	2637	0.15
2016-03-17	13:35	2840	0.18
2016-04-06	13:00	473	0.51
2016-12-15	16:40	79	0.11
2016-12-16	17:20	233	0.52
2017-01-05	14:45	205	0.20
2017-01-09	17:30	12451	1.39
2017-01-10	14:30	3801	1.03
2017-01-11	16:00	13750	0.72
2017-01-14	15:35	3891	0.32
2017-01-19	12:30	6730	0.54
2017-01-20	10:45	6730	1.06
2017-01-21	9:25	10109	0.87
2017-01-23	11:55	9896	0.57
2017-01-26	11:30	3453	0.13
2017-02-01	13:00	3053	0.15
2017-02-08	13:50	11060	0.68
2017-02-10	14:45	11505	0.60
2017-02-21	13:25	13460	0.56
2017-03-16	15:35	2942	0.11
2017-04-04	15:44	259	0.29
2017-04-26	14:30	223	0.32
