Dates	Time	Flow	wwTHg
10d	8s	6n	6n
2016-01-20	13:30	476	41
2016-01-23	11:00	56	18
2016-01-24	9:38	117	14
2016-02-02	15:00	498	27
2016-02-03	14:00	430	33
2016-02-04	12:40	256	93
2016-03-07	13:40	541	192
2016-03-08	14:20	551	199
2016-03-10	15:49	663	39
2016-03-12	13:23	4378	77
2016-03-13	12:15	3688	64
2016-03-14	12:44	3190	74
2016-03-15	12:25	2637	49
2016-03-17	13:35	2840	28
2016-04-06	13:00	473	8.5
2016-12-15	16:40	79	11
2016-12-16	17:20	233	42
2017-01-05	14:45	205	20
2017-01-09	17:30	12451	279
2017-01-10	14:30	3801	194
2017-01-11	16:00	13750	168
2017-01-14	15:35	3891	53
2017-01-19	12:30	6730	66
2017-01-20	10:45	6730	192
2017-01-21	9:25	10109	185
2017-01-23	11:55	9896	130
2017-01-26	11:30	3453	21
2017-02-01	13:00	3053	9.8
2017-02-08	13:50	11060	183
2017-02-10	14:45	11505	120
2017-02-21	13:25	13460	152
2017-03-16	15:35	2942	6.5
2017-04-04	15:44	259	8.8
2017-04-26	14:30	223	6.7
