Dates	Time	Flow	pTHg
10d	8s	6n	6n
2016-01-20	13:30	476	32.5
2016-01-23	11:00	56	12.0
2016-01-24	9:38	117	8.4
2016-02-02	15:00	498	22.9
2016-02-03	14:00	430	26.6
2016-02-04	12:40	256	85.1
2016-03-07	13:40	541	185
2016-03-08	14:20	551	188
2016-03-10	15:49	663	30.9
2016-03-12	13:23	4378	68.2
2016-03-13	12:15	3688	55.1
2016-03-14	12:44	3190	66.9
2016-03-15	12:25	2637	42.1
2016-03-17	13:35	2840	23.8
2016-04-06	13:00	473	5.7
2016-12-15	16:40	79	5.2
2016-12-16	17:20	233	38.7
2017-01-05	14:45	205	16.0
2017-01-09	17:30	12451	272
2017-01-10	14:30	3801	187
2017-01-11	16:00	13750	161
2017-01-14	15:35	3891	48.0
2017-01-19	12:30	6730	63.3
2017-01-20	10:45	6730	187
2017-01-21	9:25	10109	180
2017-01-23	11:55	9896	125
2017-01-26	11:30	3453	18.6
2017-02-01	13:00	3053	8.3
2017-02-08	13:50	11060	178
2017-02-10	14:45	11505	115
2017-02-21	13:25	13460	148
2017-03-16	15:35	2942	4.9
2017-04-04	15:44	259	7.1
2017-04-26	14:30	223	4.7
2018-03-22	10:30	86.2	4.9
2018-04-08	12:50	350	20.0
