Dates	Time	Flow	wwTHg
10d	8s	6n	6n
2016-01-07	15:30	423	74
2016-01-08	12:40	152	63
2016-01-09	11:50	40	66
2016-01-18	14:05	920	67
2016-01-19	10:40	983	175
2016-01-20	13:05	1763	167
2016-03-06	16:40	3739	1185
2016-03-07	17:10	3296	478
2016-03-11	16:50	4466	316
2016-03-12	13:00	3881	255
2016-03-13	11:40	4590	357
2016-03-17	11:40	2807	98
2016-04-07	12:00	253	8.7
2016-12-12	12:10	135	44
2016-12-16	15:50	2987	341
2016-12-17	14:10	761	59
2017-01-05	11:10	883	133
2017-01-08	16:20	3675	207
2017-01-09	15:20	12403	719
2017-01-11	14:30	15715	469
2017-01-14	14:00	3552	105
2017-01-19	13:30	8591	534
2017-01-20	15:10	6543	409
2017-01-21	13:40	6705	208
2017-01-24	13:10	4880	181
2017-02-02	12:40	3193	304
2017-02-08	12:40	8478	348
2017-02-10	13:10	10802	310
2017-02-21	12:20	14034	593
2017-03-16	13:20	2995	55
2017-04-04	13:40	543	12
2017-04-26	12:30	358	68
