# Discharge.ft^3/s.(PUBLISHED)@11452600.20151001.csv generated at 2018-10-12 04:05:14 (UTC+00:00) by AQUARIUS 18.1.204.0
# 
# Time series identifier: Discharge.ft^3/s.(PUBLISHED)@11452600
# Location: CACHE C INFLOW TO SETTLING BASIN NR YOLO CA
# UTC offset: (UTC-08:00)
# Value units: ft^3/s
# Value parameter: Discharge
# Interpolation type: Instantaneous Values
# Time series type: Derived
# 
# Export options: Corrected signal from 2015-10-01T08:00:00Z to 2017-10-01T08:00:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC, Timestamp (UTC-08:00), Value, Approval Level, Grade, Qualifiers
2016-05-01T07:00:00Z,2016-04-30 23:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T08:15:00Z,2016-10-01 00:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T08:30:00Z,2016-10-01 00:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T08:45:00Z,2016-10-01 00:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T09:00:00Z,2016-10-01 01:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T09:15:00Z,2016-10-01 01:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T09:30:00Z,2016-10-01 01:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T09:45:00Z,2016-10-01 01:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T10:00:00Z,2016-10-01 02:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T10:15:00Z,2016-10-01 02:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T10:30:00Z,2016-10-01 02:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T10:45:00Z,2016-10-01 02:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T11:00:00Z,2016-10-01 03:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T11:15:00Z,2016-10-01 03:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T11:30:00Z,2016-10-01 03:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T11:45:00Z,2016-10-01 03:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T12:00:00Z,2016-10-01 04:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T12:15:00Z,2016-10-01 04:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T12:30:00Z,2016-10-01 04:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T12:45:00Z,2016-10-01 04:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T13:00:00Z,2016-10-01 05:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T13:15:00Z,2016-10-01 05:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T13:30:00Z,2016-10-01 05:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T13:45:00Z,2016-10-01 05:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T14:00:00Z,2016-10-01 06:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T14:15:00Z,2016-10-01 06:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T14:30:00Z,2016-10-01 06:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T14:45:00Z,2016-10-01 06:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T15:00:00Z,2016-10-01 07:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T15:15:00Z,2016-10-01 07:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T15:30:00Z,2016-10-01 07:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T15:45:00Z,2016-10-01 07:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T16:00:00Z,2016-10-01 08:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T16:15:00Z,2016-10-01 08:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T16:30:00Z,2016-10-01 08:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T16:45:00Z,2016-10-01 08:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T17:00:00Z,2016-10-01 09:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T17:15:00Z,2016-10-01 09:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T17:30:00Z,2016-10-01 09:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T17:45:00Z,2016-10-01 09:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T18:00:00Z,2016-10-01 10:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T18:15:00Z,2016-10-01 10:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T18:30:00Z,2016-10-01 10:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T18:45:00Z,2016-10-01 10:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T19:00:00Z,2016-10-01 11:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T19:15:00Z,2016-10-01 11:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T19:30:00Z,2016-10-01 11:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T19:45:00Z,2016-10-01 11:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T20:00:00Z,2016-10-01 12:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T20:15:00Z,2016-10-01 12:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T20:30:00Z,2016-10-01 12:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T20:45:00Z,2016-10-01 12:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T21:00:00Z,2016-10-01 13:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T21:15:00Z,2016-10-01 13:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T21:30:00Z,2016-10-01 13:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T21:45:00Z,2016-10-01 13:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T22:00:00Z,2016-10-01 14:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T22:15:00Z,2016-10-01 14:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T22:30:00Z,2016-10-01 14:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T22:45:00Z,2016-10-01 14:45:00,0,Approved,50,"ESTIMATED"
2016-10-01T23:00:00Z,2016-10-01 15:00:00,0,Approved,50,"ESTIMATED"
2016-10-01T23:15:00Z,2016-10-01 15:15:00,0,Approved,50,"ESTIMATED"
2016-10-01T23:30:00Z,2016-10-01 15:30:00,0,Approved,50,"ESTIMATED"
2016-10-01T23:45:00Z,2016-10-01 15:45:00,0,Approved,50,"ESTIMATED"
2016-10-02T00:00:00Z,2016-10-01 16:00:00,0,Approved,50,"ESTIMATED"
2016-10-02T00:15:00Z,2016-10-01 16:15:00,0,Approved,50,"ESTIMATED"
2016-10-02T00:30:00Z,2016-10-01 16:30:00,0,Approved,50,"ESTIMATED"
2016-10-02T00:45:00Z,2016-10-01 16:45:00,0,Approved,50,"ESTIMATED"
2016-10-02T01:00:00Z,2016-10-01 17:00:00,0,Approved,50,"ESTIMATED"
2016-10-02T01:15:00Z,2016-10-01 17:15:00,0,Approved,50,"ESTIMATED"
2016-10-02T01:30:00Z,2016-10-01 17:30:00,0,Approved,50,"ESTIMATED"
2016-10-02T01:45:00Z,2016-10-01 17:45:00,0,Approved,50,"ESTIMATED"
2016-10-02T02:00:00Z,2016-10-01 18:00:00,0,Approved,50,"ESTIMATED"
2016-10-02T02:15:00Z,2016-10-01 18:15:00,0,Approved,50,"ESTIMATED"
2016-10-02T02:30:00Z,2016-10-01 18:30:00,0,Approved,50,"ESTIMATED"
2016-10-02T02:45:00Z,2016-10-01 18:45:00,0,Approved,50,"ESTIMATED"
