Dates	Time	Flow	SSC
10d	8s	6n	6n
2016-12-12	12:10	135	86
2016-12-16	15:50	2987	1130
2016-12-17	14:10	761	223
2017-01-05	11:10	883	435
2017-01-08	16:20	3675	1350
2017-01-09	15:20	12403	1670
2017-01-11	14:30	15715	1830
2017-01-14	14:00	3552	694
2017-01-19	13:30	8591	2510
2017-01-20	15:10	6543	1800
2017-01-21	13:40	6705	928
2017-01-24	13:10	4880	708
2017-02-02	12:40	3193	438
2017-02-08	12:40	8478	1210
2017-02-10	13:10	10802	1200
2017-02-21	12:20	14034	1750
2017-03-16	13:20	2995	311
2017-04-04	13:40	543	34
2017-04-26	12:30	358	315
