Dates	Time	Flow	SSC
10d	8s	6n	6n
2016-03-10	17:00	134	107
2016-03-12	12:20	3557	148
2016-03-13	11:30	2941	189
2016-03-14	12:10	2655	262
2016-03-15	11:40	2120	141
2016-03-17	13:10	2258	87
2017-01-05	14:30	184	42
2017-01-09	17:40	12370	811
2017-01-10	14:00	3891	774
2017-01-11	16:00	13730	362
2017-01-14	15:40	3891	205
2017-01-19	12:40	6767	277
2017-01-20	11:30	6730	711
2017-01-21	10:10	9953	241
2017-01-23	11:20	10109	196
2017-01-26	11:00	3403	66
2017-02-01	12:30	3030	24
2017-02-08	13:50	11260	742
2017-02-10	14:40	11504	102
2017-02-21	13:30	13498	174
2017-03-16	14:40	2707	18
2017-04-04	15:20	28.4	10
