Dates	Time	Flow	pMeHg
10d	8s	6n	6n
2016-03-10	17:00	134	0.11
2016-03-12	12:20	3557	0.20
2016-03-13	11:30	2941	0.23
2016-03-14	12:10	2655	0.30
2016-03-15	11:40	2120	0.15
2016-03-17	13:10	2258	0.12
2017-01-05	14:30	184	0.11
2017-01-09	17:40	12370	1.08
2017-01-10	14:00	3891	1.15
2017-01-11	16:00	13730	0.61
2017-01-14	15:40	3891	0.40
2017-01-19	12:40	6767	0.71
2017-01-20	11:30	6730	1.63
2017-01-21	10:10	9953	0.50
2017-01-23	11:20	10109	0.38
2017-01-26	11:00	3403	0.18
2017-02-01	12:30	3030	0.19
2017-02-08	13:50	11260	0.66
2017-02-10	14:40	11504	0.39
2017-02-21	13:30	13498	0.46
2017-03-16	14:40	2707	0.17
2017-04-04	15:20	28.4	0.37
