Dates	Time	Flow	pTHg
10d	8s	6n	6n
2016-03-10	17:00	134	25.1
2016-03-12	12:20	3557	33.9
2016-03-13	11:30	2941	43.8
2016-03-14	12:10	2655	63.4
2016-03-15	11:40	2120	36.1
2016-03-17	13:10	2258	19.5
2017-01-05	14:30	184	7.0
2017-01-09	17:40	12370	157
2017-01-10	14:00	3891	199
2017-01-11	16:00	13730	105
2017-01-14	15:40	3891	50.7
2017-01-19	12:40	6767	76.4
2017-01-20	11:30	6730	224
2017-01-21	10:10	9953	76.1
2017-01-23	11:20	10109	55.6
2017-01-26	11:00	3403	22.2
2017-02-01	12:30	3030	7.6
2017-02-08	13:50	11260	87.2
2017-02-10	14:40	11504	33.3
2017-02-21	13:30	13498	60.2
2017-03-16	14:40	2707	4.2
2017-04-04	15:20	28.4	3.8
