Dates	Time	Flow	SSC
10d	8s	6n	6n
2012-12-03	12:40	1900	195
2012-12-05	13:40	274	141
2012-12-23	10:10	1750	152
2012-12-24	11:50	7340	332
2012-12-27	13:20	960	295
2014-12-12	14:20	3702	2260
2014-12-13	9:50	3030	732
2014-12-15	11:30	960	67
2014-12-16	17:00	2450	375
2014-12-20	14:30	2030	90
2015-02-09	13:40	1153	365
2015-02-10	13:10	1228	142
2016-03-10	17:00	134	107
2016-03-12	12:20	3557	148
2016-03-13	11:30	2941	189
2016-03-14	12:10	2655	262
2016-03-15	11:40	2120	141
2016-03-17	13:10	2258	87
2017-01-05	14:30	184	42
2017-01-09	17:40	12370	811
2017-01-10	14:00	3891	774
2017-01-11	16:00	13730	362
2017-01-14	15:40	3891	205
2017-01-19	12:40	6767	277
2017-01-20	11:30	6730	711
2017-01-21	10:10	9953	241
2017-01-23	11:20	10109	196
2017-01-26	11:00	3403	66
2017-02-01	12:30	3030	24
2017-02-08	13:50	11260	742
2017-02-10	14:40	11504	102
2017-02-21	13:30	13498	174
2017-03-16	14:40	2707	18
2017-04-04	15:20	28.4	10
2019-01-17	14:50	7965	61
2019-01-18	12:00	5744	338
2019-02-05	14:20	1068	99
2019-02-14	14:10	13575	1018
2019-02-15	13:17	11138	803.5
2019-02-27	14:20	15929	565.5
2019-02-28	13:50	11842	470
2019-03-01	8:30	6789	210
2019-03-05	13:50	4471	94
2019-03-07	12:50	8151	157.5
2019-03-28	12:40	4244	51
2019-04-17	13:30	177	11
