Dates	Time	Flow	pTHg
10d	8s	6n	6n
2012-12-03	12:40	1900	46.0
2012-12-05	13:40	274	58.0
2012-12-23	10:10	1750	35.1
2012-12-24	11:50	7340	119
2012-12-27	13:20	960	71.0
2014-12-12	14:20	3702	953
2014-12-13	9:50	3030	329
2014-12-15	11:30	960	22.7
2014-12-16	17:00	2450	172
2014-12-20	14:30	2030	35.0
2015-02-09	13:40	1153	143
2015-02-10	13:10	1228	48.6
2016-03-10	17:00	134	25.1
2016-03-12	12:20	3557	33.9
2016-03-13	11:30	2941	43.8
2016-03-14	12:10	2655	63.4
2016-03-15	11:40	2120	36.1
2016-03-17	13:10	2258	19.5
2017-01-05	14:30	184	7.0
2017-01-09	17:40	12370	157
2017-01-10	14:00	3891	199
2017-01-11	16:00	13730	105
2017-01-14	15:40	3891	50.7
2017-01-19	12:40	6767	76.4
2017-01-20	11:30	6730	224
2017-01-21	10:10	9953	76.1
2017-01-23	11:20	10109	55.6
2017-01-26	11:00	3403	22.2
2017-02-01	12:30	3030	7.6
2017-02-08	13:50	11260	87.2
2017-02-10	14:40	11504	33.3
2017-02-21	13:30	13498	60.2
2017-03-16	14:40	2707	4.2
2017-04-04	15:20	28.4	3.8
2019-01-17	14:50	7965	18.7
2019-01-18	12:00	5744	51.3
2019-02-05	14:20	1068	20.6
2019-02-14	14:10	13575	263
2019-02-15	13:17	11138	270
2019-02-27	14:20	15929	170
2019-02-28	13:50	11842	122
2019-03-01	8:30	6789	69.7
2019-03-05	13:50	4471	23.9
2019-03-07	12:50	8151	41
2019-03-28	12:40	4244	15.8
2019-04-17	13:30	177	3.6
