Dates	Time	Flow	PwwMeHg	RwwMeHg
10d	8s	6n	6n	2s
2012-12-03	12:40	1900	0.50	
2012-12-05	13:40	274	0.54	
2012-12-23	10:10	1750	1.20	
2012-12-24	11:50	7340	2.66	
2012-12-27	13:20	960	0.76	
2014-12-12	14:20	3702	1.56	
2014-12-13	9:50	3030	0.60	
2014-12-15	11:30	960	0.16	<
2014-12-16	17:00	2450	0.36	
2014-12-20	14:30	2030	0.27	
2015-02-09	13:40	1153	1.16	
2015-02-10	13:10	1228	0.27	
2016-03-10	17:00	134	0.22	
2016-03-12	12:20	3557	0.32	
2016-03-13	11:30	2941	0.33	
2016-03-14	12:10	2655	0.43	
2016-03-15	11:40	2120	0.30	
2016-03-17	13:10	2258	0.21	
2017-01-05	14:30	184	0.18	
2017-01-09	17:40	12370	1.17	
2017-01-10	14:00	3891	1.22	
2017-01-11	16:00	13730	0.67	
2017-01-14	15:40	3891	0.47	
2017-01-19	12:40	6767	0.79	
2017-01-20	11:30	6730	1.69	
2017-01-21	10:10	9953	0.55	
2017-01-23	11:20	10109	0.44	
2017-01-26	11:00	3403	0.25	
2017-02-01	12:30	3030	0.23	
2017-02-08	13:50	11260	0.74	
2017-02-10	14:40	11504	0.51	
2017-02-21	13:30	13498	0.54	
2017-03-16	14:40	2707	0.23	
2017-04-04	15:20	28.4	0.54	
2019-01-17	14:50	7965	0.23	
2019-01-18	12:00	5744	0.40	
2019-02-05	14:20	1068	0.34	
2019-02-14	14:10	13575	2.12	
2019-02-15	13:17	11138	1.22	
2019-02-27	14:20	15929	1.58	
2019-02-28	13:50	11842	0.83	
2019-03-01	8:30	6789	0.50	
2019-03-05	13:50	4471	0.31	
2019-03-07	12:50	8151	0.47	
2019-03-28	12:40	4244	0.44	
2019-04-17	13:30	177	0.34	
