Dates	Time	Flow	wwTHg
10d	8s	6n	6n
2016-03-10	17:00	134	32.7
2016-03-12	12:20	3557	41.1
2016-03-13	11:30	2941	52.6
2016-03-14	12:10	2655	72.5
2016-03-15	11:40	2120	44.3
2016-03-17	13:10	2258	25.2
2017-01-05	14:30	184	10.1
2017-01-09	17:40	12370	164
2017-01-10	14:00	3891	205
2017-01-11	16:00	13730	111
2017-01-14	15:40	3891	58.6
2017-01-19	12:40	6767	79.1
2017-01-20	11:30	6730	227
2017-01-21	10:10	9953	81.0
2017-01-23	11:20	10109	60.2
2017-01-26	11:00	3403	25.7
2017-02-01	12:30	3030	9.5
2017-02-08	13:50	11260	91.9
2017-02-10	14:40	11504	37.2
2017-02-21	13:30	13498	63.5
2017-03-16	14:40	2707	5.9
2017-04-04	15:20	28.4	5.7
2019-01-17	14:50	7965	25.6
2019-01-18	12:00	5744	57.8
2019-02-05	14:20	1068	27.4
2019-02-14	14:10	13575	271
2019-02-15	13:17	11138	282
2019-02-27	14:20	15929	176
2019-02-28	13:50	11842	130
2019-03-01	8:30	6789	75.5
2019-03-05	13:50	4471	26.2
2019-03-07	12:50	8151	43.2
2019-03-28	12:40	4244	17.8
2019-04-17	13:30	177	4.9
