Site	Dates	Flow
10s	10d	6n
11451800	2014-10-01	3
11451800	2014-10-02	3
11451800	2014-10-03	3
11451800	2014-10-04	3
11451800	2014-10-05	3
11451800	2014-10-06	3
11451800	2014-10-07	3
11451800	2014-10-08	3
11451800	2014-10-09	3
11451800	2014-10-10	3
11451800	2014-10-11	3
11451800	2014-10-12	3
11451800	2014-10-13	3
11451800	2014-10-14	3
11451800	2014-10-15	3
11451800	2014-10-16	3
11451800	2014-10-17	3
11451800	2014-10-18	3
11451800	2014-10-19	3
11451800	2014-10-20	3
11451800	2014-10-21	3
11451800	2014-10-22	3
11451800	2014-10-23	3
11451800	2014-10-24	3
11451800	2014-10-25	3
11451800	2014-10-26	4
11451800	2014-10-27	4
11451800	2014-10-28	2
11451800	2014-10-29	0
11451800	2014-10-30	0
11451800	2014-10-31	0
11451800	2014-11-01	0
11451800	2014-11-02	0
11451800	2014-11-03	0
11451800	2014-11-04	3
11451800	2014-11-05	4
11451800	2014-11-06	3
11451800	2014-11-07	3
11451800	2014-11-08	3
11451800	2014-11-09	4
11451800	2014-11-10	4
11451800	2014-11-11	5
11451800	2014-11-12	7
11451800	2014-11-13	8
11451800	2014-11-14	9
11451800	2014-11-15	11
11451800	2014-11-16	9
11451800	2014-11-17	8
11451800	2014-11-18	8
11451800	2014-11-19	9
11451800	2014-11-20	10
11451800	2014-11-21	11
11451800	2014-11-22	14
11451800	2014-11-23	12
11451800	2014-11-24	12
11451800	2014-11-25	10
11451800	2014-11-26	9
11451800	2014-11-27	9
11451800	2014-11-28	9
11451800	2014-11-29	10
11451800	2014-11-30	15
11451800	2014-12-01	19
11451800	2014-12-02	19
11451800	2014-12-03	433
11451800	2014-12-04	573
11451800	2014-12-05	95
11451800	2014-12-06	200
11451800	2014-12-07	131
11451800	2014-12-08	52
11451800	2014-12-09	33
11451800	2014-12-10	26
11451800	2014-12-11	8575
11451800	2014-12-12	2742
11451800	2014-12-13	679
11451800	2014-12-14	387
11451800	2014-12-15	1143
11451800	2014-12-16	1378
11451800	2014-12-17	1293
11451800	2014-12-18	743
11451800	2014-12-19	1477
11451800	2014-12-20	934
11451800	2014-12-21	747
11451800	2014-12-22	554
11451800	2014-12-23	417
11451800	2014-12-24	339
11451800	2014-12-25	285
11451800	2014-12-26	234
11451800	2014-12-27	200
11451800	2014-12-28	176
11451800	2014-12-29	161
11451800	2014-12-30	147
11451800	2014-12-31	130
11451800	2015-01-01	120
11451800	2015-01-02	114
11451800	2015-01-03	108
11451800	2015-01-04	102
11451800	2015-01-05	97
11451800	2015-01-06	93
11451800	2015-01-07	90
11451800	2015-01-08	86
11451800	2015-01-09	84
11451800	2015-01-10	80
11451800	2015-01-11	78
11451800	2015-01-12	75
11451800	2015-01-13	71
11451800	2015-01-14	71
11451800	2015-01-15	69
11451800	2015-01-16	68
11451800	2015-01-17	70
11451800	2015-01-18	68
11451800	2015-01-19	66
11451800	2015-01-20	64
11451800	2015-01-21	63
11451800	2015-01-22	62
11451800	2015-01-23	60
11451800	2015-01-24	58
11451800	2015-01-25	58
11451800	2015-01-26	57
11451800	2015-01-27	57
11451800	2015-01-28	56
11451800	2015-01-29	54
11451800	2015-01-30	53
11451800	2015-01-31	52
11451800	2015-02-01	51
11451800	2015-02-02	51
11451800	2015-02-03	50
11451800	2015-02-04	50
11451800	2015-02-05	49
11451800	2015-02-06	533
11451800	2015-02-07	3768
11451800	2015-02-08	1172
11451800	2015-02-09	1386
11451800	2015-02-10	585
11451800	2015-02-11	381
11451800	2015-02-12	285
11451800	2015-02-13	226
11451800	2015-02-14	190
11451800	2015-02-15	166
11451800	2015-02-16	147
11451800	2015-02-17	133
11451800	2015-02-18	122
11451800	2015-02-19	113
11451800	2015-02-20	107
11451800	2015-02-21	101
11451800	2015-02-22	94
11451800	2015-02-23	87
11451800	2015-02-24	81
11451800	2015-02-25	79
11451800	2015-02-26	77
11451800	2015-02-27	76
11451800	2015-02-28	74
11451800	2015-03-01	70
11451800	2015-03-02	67
11451800	2015-03-03	65
11451800	2015-03-04	62
11451800	2015-03-05	60
11451800	2015-03-06	58
11451800	2015-03-07	56
11451800	2015-03-08	55
11451800	2015-03-09	54
11451800	2015-03-10	53
11451800	2015-03-11	53
11451800	2015-03-12	52
11451800	2015-03-13	49
11451800	2015-03-14	48
11451800	2015-03-15	48
11451800	2015-03-16	47
11451800	2015-03-17	46
11451800	2015-03-18	44
11451800	2015-03-19	42
11451800	2015-03-20	41
11451800	2015-03-21	40
11451800	2015-03-22	40
11451800	2015-03-23	43
11451800	2015-03-24	43
11451800	2015-03-25	40
11451800	2015-03-26	38
11451800	2015-03-27	37
11451800	2015-03-28	36
11451800	2015-03-29	35
11451800	2015-03-30	34
11451800	2015-03-31	33
11451800	2015-04-01	31
11451800	2015-04-02	30
11451800	2015-04-03	30
11451800	2015-04-04	31
11451800	2015-04-05	32
11451800	2015-04-06	34
11451800	2015-04-07	45
11451800	2015-04-08	52
11451800	2015-04-09	40
11451800	2015-04-10	36
