Site	Dates	Flow
10s	10d	6n
11451800	2014-10-01	3
11451800	2014-10-02	3
11451800	2014-10-03	3
11451800	2014-10-04	3
11451800	2014-10-05	3
11451800	2014-10-06	3
11451800	2014-10-07	3
11451800	2014-10-08	3
11451800	2014-10-09	3
11451800	2014-10-10	3
11451800	2014-10-11	3
11451800	2014-10-12	3
11451800	2014-10-13	3
11451800	2014-10-14	3
11451800	2014-10-15	3
11451800	2014-10-16	3
11451800	2014-10-17	3
11451800	2014-10-18	3
11451800	2014-10-19	3
11451800	2014-10-20	3
11451800	2014-10-21	3
11451800	2014-10-22	3
11451800	2014-10-23	3
11451800	2014-10-24	3
11451800	2014-10-25	3
11451800	2014-10-26	4
11451800	2014-10-27	4
11451800	2014-10-28	4
11451800	2014-10-29	0
11451800	2014-10-30	0
11451800	2014-10-31	0
11451800	2014-11-01	0
11451800	2014-11-02	0
11451800	2014-11-03	0
11451800	2014-11-04	8
11451800	2014-11-05	8
11451800	2014-11-06	7
11451800	2014-11-07	6
11451800	2014-11-08	7
11451800	2014-11-09	7
11451800	2014-11-10	8
11451800	2014-11-11	12
11451800	2014-11-12	18
11451800	2014-11-13	21
11451800	2014-11-14	24
11451800	2014-11-15	27
11451800	2014-11-16	23
11451800	2014-11-17	20
11451800	2014-11-18	20
11451800	2014-11-19	22
11451800	2014-11-20	26
11451800	2014-11-21	27
11451800	2014-11-22	35
11451800	2014-11-23	30
11451800	2014-11-24	30
11451800	2014-11-25	26
11451800	2014-11-26	24
11451800	2014-11-27	22
11451800	2014-11-28	22
11451800	2014-11-29	27
11451800	2014-11-30	35
11451800	2014-12-01	44
11451800	2014-12-02	43
11451800	2014-12-03	646
11451800	2014-12-04	821
11451800	2014-12-05	129
11451800	2014-12-06	337
11451800	2014-12-07	180
11451800	2014-12-08	84
11451800	2014-12-09	64
11451800	2014-12-10	54
11451800	2014-12-11	8796
11451800	2014-12-12	3067
11451800	2014-12-13	1098
11451800	2014-12-14	669
11451800	2014-12-15	1542
11451800	2014-12-16	1815
11451800	2014-12-17	1708
11451800	2014-12-18	1205
11451800	2014-12-19	1946
11451800	2014-12-20	1382
11451800	2014-12-21	1211
11451800	2014-12-22	955
11451800	2014-12-23	717
11451800	2014-12-24	596
11451800	2014-12-25	520
11451800	2014-12-26	456
11451800	2014-12-27	413
11451800	2014-12-28	383
11451800	2014-12-29	363
11451800	2014-12-30	342
11451800	2014-12-31	319
11451800	2015-01-01	304
11451800	2015-01-02	294
11451800	2015-01-03	286
11451800	2015-01-04	276
11451800	2015-01-05	268
11451800	2015-01-06	261
11451800	2015-01-07	256
11451800	2015-01-08	250
11451800	2015-01-09	247
11451800	2015-01-10	240
11451800	2015-01-11	236
11451800	2015-01-12	231
11451800	2015-01-13	225
11451800	2015-01-14	223
11451800	2015-01-15	220
11451800	2015-01-16	219
11451800	2015-01-17	221
11451800	2015-01-18	218
11451800	2015-01-19	215
11451800	2015-01-20	212
11451800	2015-01-21	210
11451800	2015-01-22	207
11451800	2015-01-23	203
11451800	2015-01-24	200
11451800	2015-01-25	200
11451800	2015-01-26	199
11451800	2015-01-27	197
11451800	2015-01-28	195
11451800	2015-01-29	192
11451800	2015-01-30	191
11451800	2015-01-31	188
11451800	2015-02-01	186
11451800	2015-02-02	185
11451800	2015-02-03	183
11451800	2015-02-04	185
11451800	2015-02-05	183
11451800	2015-02-06	856
11451800	2015-02-07	4047
11451800	2015-02-08	1611
11451800	2015-02-09	1824
11451800	2015-02-10	985
11451800	2015-02-11	661
11451800	2015-02-12	518
11451800	2015-02-13	447
11451800	2015-02-14	402
11451800	2015-02-15	370
11451800	2015-02-16	344
11451800	2015-02-17	324
11451800	2015-02-18	306
11451800	2015-02-19	294
11451800	2015-02-20	284
11451800	2015-02-21	274
11451800	2015-02-22	264
11451800	2015-02-23	252
11451800	2015-02-24	242
11451800	2015-02-25	238
11451800	2015-02-26	235
11451800	2015-02-27	233
11451800	2015-02-28	230
11451800	2015-03-01	223
11451800	2015-03-02	217
11451800	2015-03-03	213
11451800	2015-03-04	207
11451800	2015-03-05	203
11451800	2015-03-06	199
11451800	2015-03-07	196
11451800	2015-03-08	195
11451800	2015-03-09	192
11451800	2015-03-10	190
11451800	2015-03-11	191
11451800	2015-03-12	188
11451800	2015-03-13	183
11451800	2015-03-14	180
11451800	2015-03-15	180
11451800	2015-03-16	178
11451800	2015-03-17	176
11451800	2015-03-18	171
11451800	2015-03-19	167
11451800	2015-03-20	165
11451800	2015-03-21	164
11451800	2015-03-22	162
11451800	2015-03-23	171
11451800	2015-03-24	170
11451800	2015-03-25	161
11451800	2015-03-26	159
11451800	2015-03-27	157
11451800	2015-03-28	153
11451800	2015-03-29	151
11451800	2015-03-30	149
11451800	2015-03-31	147
11451800	2015-04-01	143
11451800	2015-04-02	141
11451800	2015-04-03	141
11451800	2015-04-04	142
11451800	2015-04-05	144
11451800	2015-04-06	149
11451800	2015-04-07	175
11451800	2015-04-08	187
11451800	2015-04-09	163
