"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2015-10-01,3.3,1.27471126409415e-07,8.09481049276062e-08,1.57807539166636e-07,1.57516634312439e-08,4.0731348556984e-07
"2",2015-10-02,2.8,9.46802057187136e-08,6.23743000659445e-08,1.1838243202698e-07,1.15075801446973e-08,3.03897076705654e-07
"3",2015-10-03,3.1,1.13421745394133e-07,7.30712925343107e-08,1.40953475564048e-07,1.3926449152569e-08,3.63050796611123e-07
"4",2015-10-04,3.2,1.19806860961192e-07,7.66631224174602e-08,1.48618693447847e-07,1.47549637600356e-08,3.83173919258481e-07
"5",2015-10-05,4,1.78419980847233e-07,1.08670967851542e-07,2.18542084983953e-07,2.24408175186036e-08,5.67352711251657e-07
"6",2015-10-06,3.9,1.70115555458818e-07,1.04222460029127e-07,2.08673953340235e-07,2.13447128898987e-08,5.41306093549005e-07
"7",2015-10-07,3.6,1.47023806721936e-07,9.17179789531586e-08,1.81174335372436e-07,1.83079348863725e-08,4.6880481562189e-07
"8",2015-10-08,4.1,1.85249346690783e-07,1.12290758847808e-07,2.26639268109781e-07,2.33454473739543e-08,5.88750794239345e-07
"9",2015-10-09,3.5,1.39145902470361e-07,8.73974926135553e-08,1.71768027924931e-07,1.72764401591195e-08,4.44039985736276e-07
"10",2015-10-10,3.6,1.46034397798109e-07,9.11738301014362e-08,1.79992112216702e-07,1.81785191623985e-08,4.6569356178479e-07
"11",2015-10-11,3.8,1.60554294084917e-07,9.90616214139318e-08,1.97294544361943e-07,2.00859569878422e-08,5.1129550363949e-07
"12",2015-10-12,3.3,1.24350103148121e-07,7.92068367965766e-08,1.54067349833284e-07,1.53454846196526e-08,3.97485497044792e-07
"13",2015-10-13,3.4,1.30902876608925e-07,8.2849766176267e-08,1.61913775722141e-07,1.61993760473864e-08,4.18112358028824e-07
"14",2015-10-14,8.5,6.74276055475929e-07,3.47752415038157e-07,7.96484188459829e-07,9.00241739190072e-08,2.10838473579179e-06
"15",2015-10-15,10,8.99401199253117e-07,4.47421982173477e-07,1.05533889668894e-06,1.21397197106017e-07,2.80350985932517e-06
"16",2015-10-16,10,8.97420005366706e-07,4.46450427965019e-07,1.05302014991927e-06,1.21128669825177e-07,2.79734174960571e-06
"17",2015-10-17,11,1.06152212035323e-06,5.17031193279455e-07,1.24092779898303e-06,1.44153041385216e-07,3.30303497807059e-06
"18",2015-10-18,11,1.05918715226808e-06,5.15899070303968e-07,1.23820035276071e-06,1.43835549996149e-07,3.29577218758585e-06
"19",2015-10-19,12,1.23436705171291e-06,5.89705943876088e-07,1.43822646365479e-06,1.68527803618251e-07,3.83486753354144e-06
"20",2015-10-20,17,2.29138054758143e-06,1.01359124016413e-06,2.6375965802422e-06,3.1905735294264e-07,7.0778127698178e-06
"21",2015-10-21,14,1.61778231689848e-06,7.4683376149165e-07,1.87443546339117e-06,2.2289240932628e-07,5.01271500894945e-06
"22",2015-10-22,12,1.22624659052659e-06,5.85819924565297e-07,1.42876219675148e-06,1.67419630870802e-07,3.80963591537159e-06
"23",2015-10-23,11,1.0475764962349e-06,5.10312687814941e-07,1.22465605905877e-06,1.42253425035508e-07,3.25968045514465e-06
"24",2015-10-24,11,1.04526716210849e-06,5.09210104823343e-07,1.22196568617331e-06,1.41938071499704e-07,3.25250635938888e-06
"25",2015-10-25,11,1.04296208041932e-06,5.08112368961222e-07,1.21928144156707e-06,1.41623076774211e-07,3.24534694970444e-06
"26",2015-10-26,12,1.21548867145421e-06,5.80718947281327e-07,1.41624336378628e-06,1.65947848963998e-07,3.77623369095788e-06
"27",2015-10-27,13,1.39896692147439e-06,6.56480964630552e-07,1.62518328028771e-06,1.91922684787516e-07,4.34013679824015e-06
"28",2015-10-28,13,1.39589013255529e-06,6.55042498305882e-07,1.62161112880712e-06,1.91500169320328e-07,4.33059414515103e-06
"29",2015-10-29,13,1.3928189912081e-06,6.53610531486488e-07,1.61804709306881e-06,1.91078130637754e-07,4.32107098167899e-06
"30",2015-10-30,14,1.58611606619502e-06,7.32006855127468e-07,1.83766246233707e-06,2.18545554871824e-07,4.91449132777765e-06
"31",2015-10-31,14,1.5826297206029e-06,7.3039685901607e-07,1.83362280306518e-06,2.18065261171081e-07,4.90368856816022e-06
"32",2015-11-01,14,1.57914976924864e-06,7.28794228381801e-07,1.82959231055647e-06,2.17585509510217e-07,4.89290785398137e-06
"33",2015-11-02,18,2.46580294453218e-06,1.07539552887859e-06,2.83250945594854e-06,3.44493660120701e-07,7.60907167243419e-06
"34",2015-11-03,17,2.2222567237925e-06,9.81624281853774e-07,2.55749463584612e-06,3.09536807960339e-07,6.86361399518689e-06
"35",2015-11-04,18,2.4550228269132e-06,1.07052179071185e-06,2.8200607525041e-06,3.4300043375939e-07,7.57572207963359e-06
"36",2015-11-05,14,1.56529373678173e-06,7.22456701109976e-07,1.81356158110536e-06,2.15671944470185e-07,4.85000463340784e-06
"37",2015-11-06,13,1.36845227419311e-06,6.42385307723333e-07,1.58982470914201e-06,1.87719096966933e-07,4.24558296303167e-06
"38",2015-11-07,13,1.36543162404978e-06,6.41010537904935e-07,1.58633286812902e-06,1.87301390846241e-07,4.23623358257749e-06
"39",2015-11-08,12,1.18106806942509e-06,5.6475663200853e-07,1.37633571143767e-06,1.61210794710232e-07,3.66954685905605e-06
"40",2015-11-09,13,1.35940703453964e-06,6.38279607107228e-07,1.57937295336197e-06,1.86467437054082e-07,4.21759217640527e-06
"41",2015-11-10,14,1.54811655062899e-06,7.14696576218276e-07,1.79372687232759e-06,2.13292309422792e-07,4.79686673687374e-06
"42",2015-11-11,14,1.54470007611605e-06,7.13165797513967e-07,1.78978688094242e-06,2.12818035352354e-07,4.78630423666111e-06
"43",2015-11-12,13,1.35041181526287e-06,6.34229309942571e-07,1.56899222398554e-06,1.85220165339985e-07,4.18977292143121e-06
"44",2015-11-13,13,1.3474244896673e-06,6.32891391693239e-07,1.56554767921356e-06,1.84805387201448e-07,4.18053778937503e-06
"45",2015-11-14,13,1.34444269206465e-06,6.31559517296004e-07,1.56211095333678e-06,1.84391099995782e-07,4.17132157500773e-06
"46",2015-11-15,13,1.34146641500692e-06,6.30233658938273e-07,1.55868202826743e-06,1.83977304541562e-07,4.1621242431651e-06
"47",2015-11-16,14,1.52771205284193e-06,7.05616366144025e-07,1.7702205335245e-06,2.10454983443794e-07,4.73381492069835e-06
"48",2015-11-17,15,1.72393889345377e-06,7.83714530510492e-07,1.99263315127403e-06,2.38446038139679e-07,5.33553787963727e-06
"49",2015-11-18,13,1.33257063266251e-06,6.26291903148691e-07,1.54844187781709e-06,1.82738876759385e-07,4.13464519212723e-06
"50",2015-11-19,13,1.32961636335954e-06,6.24989832387643e-07,1.54504397615541e-06,1.82327056345331e-07,4.12552304005963e-06
"51",2015-11-20,13,1.32666757740523e-06,6.23693639777728e-07,1.54165378565459e-06,1.81915731662649e-07,4.11641959568967e-06
"52",2015-11-21,13,1.3237242673695e-06,6.22403297976442e-07,1.53827128854253e-06,1.81504903484984e-07,4.10733482425028e-06
"53",2015-11-22,13,1.3207864258257e-06,6.21118779719868e-07,1.53489646709943e-06,1.81094572578655e-07,4.09826869104104e-06
"54",2015-11-23,13,1.31785404535035e-06,6.19840057822569e-07,1.53152930365721e-06,1.80684739702649e-07,4.08922116142728e-06
"55",2015-11-24,13,1.31492711852321e-06,6.18567105177622e-07,1.5281697805994e-06,1.80275405608653e-07,4.08019220083988e-06
"56",2015-11-25,14,1.49752722411093e-06,6.92456135730666e-07,1.73555582175262e-06,2.06236721593786e-07,4.64067899064629e-06
"57",2015-11-26,13,1.30908959614848e-06,6.16038399609701e-07,1.52147358542731e-06,1.79458236737084e-07,4.06218984879354e-06
"58",2015-11-27,13,1.30617898577686e-06,6.14782592865759e-07,1.51813687833626e-06,1.79050403426688e-07,4.05321638852321e-06
"59",2015-11-28,14,1.48757721768019e-06,6.88188694891411e-07,1.72415734752399e-06,2.04840791796818e-07,4.61001389478996e-06
"60",2015-11-29,14,1.48427287647608e-06,6.86779202307441e-07,1.72037506446685e-06,2.04376617905358e-07,4.5998341030732e-06
"61",2015-11-30,15,1.67497778755061e-06,7.62645622233614e-07,1.93650894290012e-06,2.31583328530725e-07,5.18460067893619e-06
"62",2015-12-01,15,1.67126025529024e-06,7.61077005413643e-07,1.93225980761909e-06,2.31059878720987e-07,5.17315590313886e-06
"63",2015-12-02,15,1.667549634079e-06,7.5951565251212e-07,1.92802029114405e-06,2.30537069551834e-07,5.16173459083995e-06
"64",2015-12-03,17,2.07997237184053e-06,9.19866885328811e-07,2.39416575903827e-06,2.89636001499882e-07,6.42469477845719e-06
"65",2015-12-04,20,2.77254668040279e-06,1.18006203624139e-06,3.17393280679694e-06,3.89505251351224e-07,8.54157676124904e-06
"66",2015-12-05,19,2.52481794644476e-06,1.08784658153535e-06,2.8952825882066e-06,3.53726262434883e-07,7.78473965545333e-06
"67",2015-12-06,18,2.28781263332404e-06,9.98573656471536e-07,2.62835431647791e-06,3.19566925106881e-07,7.06021376093106e-06
"68",2015-12-07,17,2.06158995022169e-06,9.1227790869501e-07,2.37321432612239e-06,2.87035620410342e-07,6.36818033385402e-06
"69",2015-12-08,17,2.05701565451972e-06,9.10403107222513e-07,2.36800601820103e-06,2.86387511905425e-07,6.35412396551459e-06
"70",2015-12-09,17,2.05244985958787e-06,9.08537196946921e-07,2.36280947643967e-06,2.85740200367773e-07,6.34009638746682e-06
"71",2015-12-10,20,2.73598005572911e-06,1.16520707979782e-06,3.13233592379226e-06,3.843159762843e-07,8.42926276167119e-06
"72",2015-12-11,24,3.77710540121349e-06,1.54033109146683e-06,4.29935683373078e-06,5.35524863730217e-07,1.16046564084446e-05
"73",2015-12-12,30,5.60528859572767e-06,2.16799552197431e-06,6.33904046059552e-06,8.03058970343113e-07,1.7167818350325e-05
"74",2015-12-13,30,5.59298768500492e-06,2.16316109576428e-06,6.32510307949895e-06,8.01301975424406e-07,1.71301090003839e-05
"75",2015-12-14,47,1.23861434055703e-05,4.31312927471092e-06,1.38514806214345e-05,1.80664420531266e-06,3.77311706554746e-05
"76",2015-12-15,27,4.61693178194282e-06,1.83099230279202e-06,5.23695980788285e-06,6.58287268823301e-07,1.4161092116962e-05
"77",2015-12-16,19,2.46395916625865e-06,1.06330666508198e-06,2.82612637196545e-06,3.45075306818934e-07,7.59790704488723e-06
"78",2015-12-17,17,2.01622814330798e-06,8.93924894883884e-07,2.32165751904036e-06,2.80590529762219e-07,6.22890584583769e-06
"79",2015-12-18,16,1.8055245211087e-06,8.1250398840622e-07,2.08368432948751e-06,2.50361505202638e-07,5.583899793062e-06
"80",2015-12-19,18,2.22265940572274e-06,9.72360837585875e-07,2.55434915058218e-06,3.10300055930831e-07,6.86023510830369e-06
"81",2015-12-20,22,3.17120494525345e-06,1.32179029785603e-06,3.62000663599473e-06,4.47556109909471e-07,9.75646862693633e-06
"82",2015-12-21,30,5.49538845553219e-06,2.12539685520014e-06,6.21472259749584e-06,7.87320171896887e-07,1.68311763654472e-05
"83",2015-12-22,265,0.000258103247872086,6.57807522358286e-05,0.000282065776195283,3.90497753171274e-05,0.000777449464197502
"84",2015-12-23,201,0.000158385007733445,4.14803995476094e-05,0.000173352802886263,2.39054057442726e-05,0.00047743800837278
"85",2015-12-24,106,5.11401521002145e-05,1.48617931739256e-05,5.63424327774539e-05,7.63871289094972e-06,0.000154655527335275
"86",2015-12-25,84,3.38263727713315e-05,1.03033049239031e-05,3.73949570272752e-05,5.02525652685497e-06,0.000102467081368657
"87",2015-12-26,71,2.50670764974345e-05,7.91621269202384e-06,2.77902978270924e-05,3.70722142923237e-06,7.60385469937671e-05
"88",2015-12-27,64,2.08129477101279e-05,6.72548889606134e-06,2.31179826865763e-05,3.06875981142339e-06,6.31926657007879e-05
"89",2015-12-28,60,1.85238156541852e-05,6.07297453162952e-06,2.06008648451464e-05,2.72585096221181e-06,5.62763365481874e-05
"90",2015-12-29,59,1.79411416062571e-05,5.90308673427042e-06,1.99590985272206e-05,2.63879325044698e-06,5.45144404018382e-05
"91",2015-12-30,56,1.63204086124374e-05,5.43415372025178e-06,1.81752008952293e-05,2.39639093905245e-06,4.96152308078897e-05
"92",2015-12-31,55,1.57728488764295e-05,5.27288251502373e-06,1.75717162990016e-05,2.31466638178012e-06,4.79589782391368e-05
"93",2016-01-01,52,1.42483916997559e-05,4.82596728107408e-06,1.58923285628744e-05,2.08698263390565e-06,4.33488173803266e-05
"94",2016-01-02,52,1.42173702330366e-05,4.81461856477392e-06,1.58574723668681e-05,2.08249239474983e-06,4.32540999928435e-05
"95",2016-01-03,51,1.37060845303579e-05,4.66232757584955e-06,1.52935493557005e-05,2.00627370253904e-06,4.17070012019327e-05
"96",2016-01-04,58,1.7179927747313e-05,5.66654896334905e-06,1.91163878021545e-05,2.52596567354016e-06,5.22069582832725e-05
"97",2016-01-05,171,0.000115906065222777,3.05088266075837e-05,0.000126896305407973,1.74859382993544e-05,0.00034943867397795
"98",2016-01-06,510,0.000789195425217985,0.000190286643998957,0.000859999527767122,0.000119942424906932,0.00237384116963093
"99",2016-01-07,403,0.000521169873029027,0.000125478198419889,0.000567886994132575,7.92166622798064e-05,0.00156758508451905
"100",2016-01-08,172,0.000116359508125601,3.04866994343149e-05,0.00012735880221954,1.75617444512096e-05,0.000350759829901293
"101",2016-01-09,119,6.06188151380223e-05,1.69902248120191e-05,6.66228950828383e-05,9.08953857564727e-06,0.000183101975417922
"102",2016-01-10,119,6.04889391350956e-05,1.69406174354793e-05,6.64767888008116e-05,9.07079186513948e-06,0.000182705145012441
"103",2016-01-11,112,5.42291858175391e-05,1.5368399658316e-05,5.96437329252395e-05,8.12208091088658e-06,0.000163860140541174
"104",2016-01-12,94,3.97003522573841e-05,1.16793485802095e-05,4.37765963130743e-05,5.92187451573586e-06,0.000120110447997248
"105",2016-01-13,166,0.000108142435990359,2.83409855120948e-05,0.00011836670476449,1.63211941683963e-05,0.000325992212964085
"106",2016-01-14,251,0.000223529174692574,5.4996142571957e-05,0.000243829243033442,3.39180808356746e-05,0.000672692906884331
"107",2016-01-15,262,0.000240539198903621,5.87878519984132e-05,0.000262295609124872,3.6518594311156e-05,0.000723763112157117
"108",2016-01-16,348,0.000395320247602436,9.39930068805679e-05,0.000430495990163012,6.01451430038862e-05,0.0011886981501297
"109",2016-01-17,428,0.000567262350020132,0.000133306718943298,0.000617397116537807,8.63799799545369e-05,0.00170525197080781
"110",2016-01-18,1360,0.00427579869154013,0.00110120338215543,0.00467545436818445,0.000646320309239333,0.0128830485088334
"111",2016-01-19,1046,0.00269910742012333,0.000665195250096122,0.00294448258966596,0.000409504258420001,0.00812308745423202
"112",2016-01-20,750,0.00150608914373668,0.000356767611718495,0.00163981240615292,0.000229204402526498,0.0045283031998777
"113",2016-01-21,364,0.000423330270230503,9.93531153779148e-05,0.000460716334815793,6.44688643824304e-05,0.00127253853555504
"114",2016-01-22,276,0.000259735383064804,6.23735789800722e-05,0.000282982264644147,3.94870217801961e-05,0.000781188954855823
"115",2016-01-23,302,0.000303643478870697,7.20903255840092e-05,0.000330638829591325,4.62022400297616e-05,0.000913001802686537
"116",2016-01-24,262,0.000236006856353753,5.68493836372845e-05,0.000257168400103791,3.58711668661216e-05,0.000709874444696318
"117",2016-01-25,214,0.000164925245788015,4.08334597025216e-05,0.000179961036250509,2.50128695920262e-05,0.000496407735101837
"118",2016-01-26,181,0.000122514598450795,3.11735223038193e-05,0.000133877118425373,1.85384577596566e-05,0.000369018092016926
"119",2016-01-27,154,9.19418587570936e-05,2.4104466499583e-05,0.000100636651219174,1.38756731115696e-05,0.000277159020116543
"120",2016-01-28,135,7.27161348836456e-05,1.95753481510541e-05,7.97167949750661e-05,1.09471745829692e-05,0.000219370612939655
"121",2016-01-29,130,6.78809563047762e-05,1.84105636212937e-05,7.44498401236725e-05,1.02119295590203e-05,0.000204829336641749
"122",2016-01-30,152,8.92681993331153e-05,2.34076735673146e-05,9.77111452149279e-05,1.34719526466251e-05,0.000269100614014188
"123",2016-01-31,142,7.89934746367617e-05,2.09937308194388e-05,8.65322106796883e-05,1.19066189450174e-05,0.000238218621728924
"124",2016-02-01,127,6.47180075226541e-05,1.76109242845503e-05,7.09952279337341e-05,9.73297020924829e-06,0.000195304662742781
"125",2016-02-02,113,5.25341108938391e-05,1.46717983071422e-05,5.77240763737953e-05,7.88015761932953e-06,0.000158663762066396
"126",2016-02-03,105,4.60376391296593e-05,1.30748087550621e-05,5.06414846734863e-05,6.8936553712393e-06,0.000139118049531441
"127",2016-02-04,99,4.13968461617589e-05,1.19188922614921e-05,4.55787197669239e-05,6.18966834610138e-06,0.000125150985904706
"128",2016-02-05,93,3.69807620569488e-05,1.08069594444428e-05,4.07585366065415e-05,5.52033904007024e-06,0.000111856711946409
"129",2016-02-06,88,3.34615191206901e-05,9.9100523385672e-06,3.69148769208566e-05,4.98746931315154e-06,0.000101259054861362
"130",2016-02-07,82,2.94638642393708e-05,8.87940932667493e-06,3.25461416668139e-05,4.3827313267343e-06,8.92172296393937e-05
"131",2016-02-08,79,2.75212123886181e-05,8.37117986046104e-06,3.04214231313394e-05,4.08924248206205e-06,8.33631668421183e-05
"132",2016-02-09,75,2.5045743880489e-05,7.71871892270893e-06,2.77129128375709e-05,3.71549043690851e-06,7.59020681279538e-05
"133",2016-02-10,72,2.32466620562444e-05,7.23919925433036e-06,2.57432138053161e-05,3.44413629191328e-06,7.04779081985874e-05
"134",2016-02-11,70,2.20657719665213e-05,6.92145626594037e-06,2.44496095078043e-05,3.26618203994396e-06,6.69165904380164e-05
