"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2015-10-01,3.3,2.45499741791701e-07,1.41259853027043e-07,2.75437232755743e-07,3.56231573541682e-08,7.49030368323982e-07
"2",2015-10-02,2.8,1.85521054944192e-07,1.10593505852329e-07,2.10142413923022e-07,2.65110709588566e-08,5.68650143320519e-07
"3",2015-10-03,3.1,2.19952733426709e-07,1.28329731342615e-07,2.47687078333731e-07,3.17282936318154e-08,6.72284198200839e-07
"4",2015-10-04,3.2,2.31618307358884e-07,1.34255412636356e-07,2.60368478303682e-07,3.3504596880759e-08,7.07342453290104e-07
"5",2015-10-05,4,3.37118831494073e-07,1.86318324080202e-07,3.74358650045657e-07,4.97267135447325e-08,1.02343859328911e-06
"6",2015-10-06,3.9,3.22336617503403e-07,1.7916082469825e-07,3.58448422592357e-07,4.74396828218706e-08,9.79234099341113e-07
"7",2015-10-07,3.6,2.80958121829393e-07,1.58911005985733e-07,3.13817353919249e-07,4.10596884913041e-08,8.55364223986574e-07
"8",2015-10-08,4.1,3.49342464207639e-07,1.92181398217546e-07,3.87489060149908e-07,5.16236370386239e-08,1.05995653702965e-06
"9",2015-10-09,3.5,2.66790029989981e-07,1.51893764702672e-07,2.98497980683442e-07,3.88837451979457e-08,8.12898788508116e-07
"10",2015-10-10,3.6,2.79238322812323e-07,1.58060545372561e-07,3.11958347314531e-07,4.07954272239479e-08,8.50210324152358e-07
"11",2015-10-11,3.8,3.05349911295119e-07,1.70880503927104e-07,3.40140561306923e-07,4.48172551804003e-08,9.28402852560167e-07
"12",2015-10-12,3.3,2.40028139568025e-07,1.38517374844375e-07,2.69506771888674e-07,3.47861497696045e-08,7.32610577067161e-07
"13",2015-10-13,3.4,2.51947040928258e-07,1.44502698533463e-07,2.82431573850075e-07,3.66081927924124e-08,7.68386229896173e-07
"14",2015-10-14,8.5,1.18096971917058e-06,5.55441883220564e-07,1.26583558203859e-06,1.84207073348623e-07,3.52336610428971e-06
"15",2015-10-15,10,1.54955790593539e-06,7.03616921740903e-07,1.65001642256136e-06,2.44199071225887e-07,4.6079197227425e-06
"16",2015-10-16,10,1.54645099589167e-06,7.02227665302707e-07,1.64671726561585e-06,2.43707324915701e-07,4.59869347516461e-06
"17",2015-10-17,11,1.81183977779662e-06,8.05921546666324e-07,1.92220184755699e-06,2.87179536953771e-07,5.37796719123963e-06
"18",2015-10-18,11,1.80821195261055e-06,8.04315715116879e-07,1.91835633932616e-06,2.86603753977167e-07,5.36720355252057e-06
"19",2015-10-19,12,2.08902545615909e-06,9.11831125035786e-07,2.20903875176304e-06,3.32803533794897e-07,6.19059968267221e-06
"20",2015-10-20,17,3.74333131807289e-06,1.51531785204393e-06,3.91092269948523e-06,6.07616636493691e-07,1.10260388397916e-05
"21",2015-10-21,14,2.69622542642021e-06,1.13806177848697e-06,2.83532512991012e-06,4.33261099786143e-07,7.96776993412759e-06
"22",2015-10-22,12,2.07651257802274e-06,9.06359514435853e-07,2.19580292553839e-06,3.30811060704836e-07,6.15351339665456e-06
"23",2015-10-23,11,1.79016271378172e-06,7.9639206515671e-07,1.89925163588622e-06,2.83732689819913e-07,5.31369054489993e-06
"24",2015-10-24,11,1.786570794731e-06,7.94828229494501e-07,1.89545513409986e-06,2.83160057419624e-07,5.30304872823344e-06
"25",2015-10-25,11,1.78298483568947e-06,7.93271289848502e-07,1.89166673598367e-06,2.8258795521423e-07,5.29242708939799e-06
"26",2015-10-26,12,2.05992508290159e-06,8.9917756033911e-07,2.1782865376047e-06,3.28162862582708e-07,6.10439186410172e-06
"27",2015-10-27,13,2.35202575260392e-06,1.00881046086977e-06,2.47984710841021e-06,3.7641888682032e-07,6.95972482742062e-06
"28",2015-10-28,13,2.34731695843963e-06,1.00679885100415e-06,2.47488568663458e-06,3.75664518164192e-07,6.94579594445484e-06
"29",2015-10-29,13,2.34261595324181e-06,1.00479637316304e-06,2.46993483307773e-06,3.74910840432711e-07,6.93189342088344e-06
"30",2015-10-30,14,2.64814179384513e-06,1.11745440778722e-06,2.78463580520272e-06,4.25564107259594e-07,7.82549903234742e-06
"31",2015-10-31,14,2.6428431433624e-06,1.11521698136675e-06,2.77906343520436e-06,4.24712743215677e-07,7.80984018090224e-06
"32",2015-11-01,14,2.63755325075309e-06,1.11298984916432e-06,2.77350292246085e-06,4.23862158639906e-07,7.79421094168011e-06
"33",2015-11-02,18,4.01511854331381e-06,1.60289249003556e-06,4.1862322444708e-06,6.53815298641054e-07,1.18143169512189e-05
"34",2015-11-03,17,3.64037893065677e-06,1.47159834441141e-06,3.80256960655995e-06,5.9109567946901e-07,1.07216683371668e-05
"35",2015-11-04,18,3.99913477139526e-06,1.5962594371404e-06,4.16947076359629e-06,6.51235823807271e-07,1.17671481931966e-05
"36",2015-11-05,14,2.61648105627775e-06,1.10418338542086e-06,2.75137891435791e-06,4.20467657588923e-07,7.73198906149914e-06
"37",2015-11-06,13,2.30528723100539e-06,9.89100656262342e-07,2.43070563349139e-06,3.68906517408815e-07,6.82161659188174e-06
"38",2015-11-07,13,2.30065592028233e-06,9.8717862748047e-07,2.42584883659896e-06,3.68159142069828e-07,6.80794921457037e-06
"39",2015-11-08,12,2.0067702708278e-06,8.76707231797793e-07,2.12237987685391e-06,3.19623999828657e-07,5.94729639015091e-06
"40",2015-11-09,13,2.29141638599853e-06,9.83360773177527e-07,2.41616622334774e-06,3.66666521318319e-07,6.78069210509337e-06
"41",2015-11-10,14,2.59033664907878e-06,1.09340168206993e-06,2.72398753028722e-06,4.16242321862101e-07,7.65487173398272e-06
"42",2015-11-11,14,2.58513377780738e-06,1.09127509145933e-06,2.71854414299187e-06,4.1539964731796e-07,7.63953575428013e-06
"43",2015-11-12,13,2.27761466729067e-06,9.77698930769143e-07,2.4017194108168e-06,3.6443294151128e-07,6.73999986874582e-06
"44",2015-11-13,13,2.27302941374187e-06,9.75828815883183e-07,2.39692427733107e-06,3.63689848911736e-07,6.72648718867278e-06
"45",2015-11-14,13,2.26845180485956e-06,9.73967221221879e-07,2.3921393413542e-06,3.62947476188941e-07,6.71300013235106e-06
"46",2015-11-15,13,2.26388183164138e-06,9.721141092746e-07,2.38736458028313e-06,3.6220582505055e-07,6.69953865455143e-06
"47",2015-11-16,14,2.55924891563191e-06,1.0807885240315e-06,2.69150023622307e-06,4.11198347662878e-07,7.56329046050831e-06
"48",2015-11-17,15,2.86826545345689e-06,1.19261374412e-06,3.00903516480411e-06,4.62619342429785e-07,8.46600843018713e-06
"49",2015-11-18,13,2.25021763596795e-06,9.66605295902892e-07,2.37310112143703e-06,3.59985218040738e-07,6.65930724125706e-06
"50",2015-11-19,13,2.24567811541306e-06,9.64785741431149e-07,2.3683668352444e-06,3.59246470080569e-07,6.64594762694819e-06
"51",2015-11-20,13,2.24114618553677e-06,9.62974483417325e-07,2.36364261190782e-06,3.58508452067014e-07,6.63261336629377e-06
