Dates	Time	Flow	fMeHg
10d	8s	6n	6n
2015-12-19	13:50	18	0.032
2015-12-22	12:52	252	0.044
2015-12-23	12:40	179	0.065
2016-01-05	21:00	451	0.034
2016-01-06	15:10	450	0.071
2016-01-07	9:00	448	0.066
2016-01-08	10:50	171	0.057
2016-01-13	9:50	103	0.041
2016-01-17	23:00	633	0.046
2016-01-18	10:50	1446	0.021
2016-01-19	16:45	1507	0.034
2016-01-20	14:40	615	0.057
2016-02-18	8:30	81	0.050
2016-03-06	7:05	3225	0.075
2016-03-07	6:20	6257	0.049
2016-03-11	14:03	3772	0.068
2016-03-17	12:20	3022	0.036
2016-04-07	12:10	361	0.057
2016-11-20	12:30	107	0.041
2016-12-10	22:50	796	0.117
2016-12-15	21:00	4604	0.117
2016-12-16	9:20	1794	0.077
2017-01-04	9:00	1947	0.059
2017-01-08	12:05	15813	0.045
2017-01-09	9:30	3736	0.044
2017-01-10	20:37	16154	0.037
2017-01-11	12:20	6933	0.035
2017-01-14	13:00	3260	0.019
2017-01-18	22:20	7610	0.021
2017-01-19	5:55	8329	0.039
2017-01-20	13:00	9655	0.031
2017-01-22	11:17	12549	0.031
2017-01-25	13:30	4288	0.023
2017-02-07	12:10	16624	0.038
2017-02-09	21:50	12016	0.031
2017-02-20	16:00	11132	0.025
2017-03-15	14:40	3143	0.021
2017-04-03	15:00	715	0.056
2017-04-25	11:30	419	0.090
2017-05-15	12:00	509	0.086
2018-01-08	21:10	57.2	0.026
2018-01-09	11:00	180	0.039
2018-01-10	8:20	152	0.062
2018-01-24	23:20	60.0	0.031
2018-01-25	19:40	135	0.063
2018-01-26	8:30	105	0.067
2018-02-12	11:30	26.3	0.055
2018-03-02	10:00	116	0.080
2018-03-07	11:30	38.2	0.068
2018-03-22	12:45	801	0.248
2018-04-07	8:37	909	0.167
2018-05-11	11:30	697	0.064
