"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2015-10-01,3.3,2.14522995595263e-05,8.84378985859049e-06,2.350014390035e-05,3.26565167460698e-06,6.4054341342779e-05
"2",2015-10-02,2.8,1.76922396578114e-05,7.52097836150615e-06,1.94678209983747e-05,2.67438350343522e-06,5.29412659255521e-05
"3",2015-10-03,3.1,1.99357791946723e-05,8.31549983045655e-06,2.18755068859024e-05,3.02678686797416e-06,5.95744788222164e-05
"4",2015-10-04,3.2,2.06920324678375e-05,8.57978189218324e-06,2.26859439205561e-05,3.14584081315958e-06,6.1808846866744e-05
"5",2015-10-05,4,2.68784734952738e-05,1.06844192134206e-05,2.92974526691281e-05,4.1239799599666e-06,8.00620731043564e-05
"6",2015-10-06,3.9,2.60927361099553e-05,1.04222477997969e-05,2.84593345412627e-05,3.99937153319419e-06,7.77459304806016e-05
"7",2015-10-07,3.6,2.3756170794965e-05,9.63419918447666e-06,2.59643877430208e-05,3.6294325610338e-06,7.08547927222452e-05
"8",2015-10-08,4.1,2.766752811051e-05,1.09463394272849e-05,3.01386909034209e-05,4.24921248873924e-06,8.23874224809246e-05
"9",2015-10-09,3.5,2.29844645289578e-05,9.37099554678577e-06,2.51394541655424e-05,3.50746581905825e-06,6.85775782433525e-05
"10",2015-10-10,3.6,2.3756170794965e-05,9.63419918447666e-06,2.59643877430208e-05,3.6294325610338e-06,7.08547927222452e-05
"11",2015-10-11,3.8,2.53103885110133e-05,1.01598224938687e-05,2.7624403573464e-05,3.87540103605719e-06,7.54391946466247e-05
"12",2015-10-12,3.3,2.14522995595263e-05,8.84378985859049e-06,2.350014390035e-05,3.26565167460698e-06,6.4054341342779e-05
"13",2015-10-13,3.4,2.22164763837838e-05,9.10752675016025e-06,2.43180108949942e-05,3.38619959940609e-06,6.63106755140053e-05
"14",2015-10-14,8.5,6.49423195277534e-05,2.22552030067161e-05,6.956768451881e-05,1.02387898473676e-05,0.000191809516857129
"15",2015-10-15,10,7.85248332445166e-05,2.60288770680035e-05,8.38399158485542e-05,1.24441221232422e-05,0.000231550213615497
