# ------------ GCLAS output --------------
#                                         
# site 11451800
# parmcode 80155
agency_cd	site_no	datetime	tz_cd	00_80155
5s	15s	20d	6s	14n
USGS	11451800	2014-10-28 08:00	USP	0.22963
USGS	11451800	2014-10-28 08:15	USP	0.22091
USGS	11451800	2014-10-28 08:30	USP	0.22111
USGS	11451800	2014-10-28 08:45	USP	0.20974
USGS	11451800	2014-10-28 09:00	USP	0.20994
USGS	11451800	2014-10-28 09:15	USP	0.21013
USGS	11451800	2014-10-28 09:30	USP	0.21033
USGS	11451800	2014-10-28 09:45	USP	0.21052
USGS	11451800	2014-10-28 10:00	USP	0.21071
USGS	11451800	2014-10-28 10:15	USP	0.21091
USGS	11451800	2014-10-28 10:30	USP	0.21110
USGS	11451800	2014-10-28 10:45	USP	0.21130
USGS	11451800	2014-10-28 11:00	USP	0.21149
USGS	11451800	2014-10-28 11:15	USP	0.21169
USGS	11451800	2014-10-28 11:30	USP	0.21188
USGS	11451800	2014-10-28 12:00	USP	0.21227
USGS	11451800	2014-10-28 12:30	USP	0.21266
USGS	11451800	2014-10-28 12:45	USP	0.21285
USGS	11451800	2014-10-28 13:00	USP	0.21305
USGS	11451800	2014-10-28 13:15	USP	0.21324
USGS	11451800	2014-11-03 07:30	USP	0.32073
USGS	11451800	2014-11-03 07:45	USP	0.32092
USGS	11451800	2014-11-03 23:15	USP	0.33545
USGS	11451800	2014-11-04 08:30	USP	0.34619
USGS	11451800	2014-11-04 08:45	USP	0.32942
USGS	11451800	2014-11-04 09:00	USP	0.32970
USGS	11451800	2014-11-04 09:15	USP	0.34706
USGS	11451800	2014-11-04 09:30	USP	0.33025
USGS	11451800	2014-11-04 09:45	USP	0.33052
USGS	11451800	2014-11-04 10:00	USP	0.33080
USGS	11451800	2014-11-04 10:15	USP	0.33107
USGS	11451800	2014-11-04 10:30	USP	0.33135
USGS	11451800	2014-11-04 10:45	USP	0.33163
USGS	11451800	2014-11-04 11:00	USP	0.33190
USGS	11451800	2014-11-04 11:15	USP	0.33218
USGS	11451800	2014-11-04 11:30	USP	0.33245
USGS	11451800	2014-11-04 11:45	USP	0.31610
USGS	11451800	2014-11-04 12:00	USP	0.33301
USGS	11451800	2014-11-04 12:15	USP	0.31663
USGS	11451800	2014-11-04 12:30	USP	0.31689
USGS	11451800	2014-11-04 12:45	USP	0.31715
USGS	11451800	2014-11-04 13:00	USP	0.31742
USGS	11451800	2014-11-04 13:15	USP	0.31768
USGS	11451800	2014-11-04 13:30	USP	0.31794
USGS	11451800	2014-11-04 13:45	USP	0.31820
USGS	11451800	2014-11-04 14:00	USP	0.31846
USGS	11451800	2014-11-04 14:15	USP	0.31873
USGS	11451800	2014-11-04 14:30	USP	0.31899
USGS	11451800	2014-11-04 14:45	USP	0.31925
USGS	11451800	2014-11-04 15:00	USP	0.31951
USGS	11451800	2014-11-04 15:15	USP	0.31977
USGS	11451800	2014-11-04 15:30	USP	0.32004
USGS	11451800	2014-11-04 15:45	USP	0.32030
USGS	11451800	2014-11-04 16:00	USP	0.32056
USGS	11451800	2014-11-04 16:15	USP	0.32082
USGS	11451800	2014-11-04 16:30	USP	0.32108
USGS	11451800	2014-11-04 16:45	USP	0.32135
USGS	11451800	2014-11-04 17:00	USP	0.32161
USGS	11451800	2014-11-04 17:15	USP	0.32187
USGS	11451800	2014-11-04 17:30	USP	0.32213
USGS	11451800	2014-11-04 17:45	USP	0.32239
USGS	11451800	2014-11-04 18:00	USP	0.33963
USGS	11451800	2014-11-04 18:15	USP	0.32292
USGS	11451800	2014-11-04 18:30	USP	0.32318
USGS	11451800	2014-11-04 18:45	USP	0.32344
USGS	11451800	2014-11-04 19:00	USP	0.34073
USGS	11451800	2014-11-04 19:15	USP	0.32397
USGS	11451800	2014-11-04 19:30	USP	0.34128
USGS	11451800	2014-11-04 19:45	USP	0.34156
USGS	11451800	2014-11-04 20:00	USP	0.34183
USGS	11451800	2014-11-04 20:15	USP	0.34211
USGS	11451800	2014-11-04 20:30	USP	0.34238
USGS	11451800	2014-11-04 20:45	USP	0.34266
USGS	11451800	2014-11-04 21:00	USP	0.34294
USGS	11451800	2014-11-04 21:15	USP	0.34321
USGS	11451800	2014-11-04 21:30	USP	0.34349
USGS	11451800	2014-11-04 21:45	USP	0.34376
USGS	11451800	2014-11-04 22:00	USP	0.34404
USGS	11451800	2014-11-04 22:15	USP	0.34431
USGS	11451800	2014-11-04 22:30	USP	0.34459
USGS	11451800	2014-11-04 22:45	USP	0.36272
USGS	11451800	2014-11-04 23:00	USP	0.36301
USGS	11451800	2014-11-04 23:15	USP	0.34542
USGS	11451800	2014-11-04 23:30	USP	0.34569
USGS	11451800	2014-11-04 23:45	USP	0.34597
USGS	11451800	2014-11-05 00:00	USP	0.36417
USGS	11451800	2014-11-05 00:15	USP	0.36446
USGS	11451800	2014-11-05 00:30	USP	0.36475
USGS	11451800	2014-11-05 00:45	USP	0.36504
USGS	11451800	2014-11-05 01:00	USP	0.36533
USGS	11451800	2014-11-05 01:15	USP	0.36562
USGS	11451800	2014-11-05 01:30	USP	0.34790
USGS	11451800	2014-11-05 01:45	USP	0.34818
USGS	11451800	2014-11-05 02:00	USP	0.34845
USGS	11451800	2014-11-05 02:15	USP	0.36679
USGS	11451800	2014-11-05 02:30	USP	0.34900
USGS	11451800	2014-11-05 02:45	USP	0.36737
USGS	11451800	2014-11-05 03:00	USP	0.36766
USGS	11451800	2014-11-05 03:15	USP	0.36795
USGS	11451800	2014-11-05 03:30	USP	0.35011
USGS	11451800	2014-11-05 03:45	USP	0.35038
USGS	11451800	2014-11-05 04:00	USP	0.35066
USGS	11451800	2014-11-05 04:15	USP	0.36911
USGS	11451800	2014-11-05 04:30	USP	0.35121
USGS	11451800	2014-11-05 04:45	USP	0.36969
USGS	11451800	2014-11-05 05:00	USP	0.35176
USGS	11451800	2014-11-05 05:15	USP	0.35204
USGS	11451800	2014-11-05 05:30	USP	0.37056
USGS	11451800	2014-11-05 05:45	USP	0.35259
USGS	11451800	2014-11-05 06:00	USP	0.35286
USGS	11451800	2014-11-05 06:15	USP	0.35314
USGS	11451800	2014-11-05 06:30	USP	0.35342
USGS	11451800	2014-11-05 06:45	USP	0.35369
USGS	11451800	2014-11-05 07:00	USP	0.35397
USGS	11451800	2014-11-05 07:15	USP	0.37259
USGS	11451800	2014-11-05 07:30	USP	0.37288
USGS	11451800	2014-11-05 07:45	USP	0.37317
USGS	11451800	2014-11-05 08:00	USP	0.35507
USGS	11451800	2014-11-05 08:15	USP	0.35535
USGS	11451800	2014-11-05 08:30	USP	0.35562
USGS	11451800	2014-11-05 08:45	USP	0.35590
USGS	11451800	2014-11-05 09:00	USP	0.35617
USGS	11451800	2014-11-05 09:15	USP	0.35645
USGS	11451800	2014-11-05 09:30	USP	0.35673
USGS	11451800	2014-11-05 09:45	USP	0.33916
USGS	11451800	2014-11-05 10:00	USP	0.33943
USGS	11451800	2014-11-05 10:15	USP	0.33969
USGS	11451800	2014-11-05 10:30	USP	0.32271
USGS	11451800	2014-11-05 10:45	USP	0.32296
USGS	11451800	2014-11-05 11:00	USP	0.32321
USGS	11451800	2014-11-05 11:15	USP	0.32345
USGS	11451800	2014-11-05 11:30	USP	0.32370
USGS	11451800	2014-11-05 11:45	USP	0.32395
USGS	11451800	2014-11-05 12:00	USP	0.32420
USGS	11451800	2014-11-05 12:15	USP	0.30774
USGS	11451800	2014-11-05 12:30	USP	0.30798
USGS	11451800	2014-11-05 12:45	USP	0.30821
USGS	11451800	2014-11-05 13:00	USP	0.30845
USGS	11451800	2014-11-05 13:15	USP	0.30868
