Dates	Time	Flow	PpMeHg	RpMeHg
10d	8s	6n	6n	2s
2016-01-24	10:30	65.4	0.10	<
2016-03-10	16:10	113	0.10	<
2016-03-12	14:10	3847	0.28	
2016-03-13	12:40	3182	0.22	
2016-03-14	13:00	2600	0.34	
2016-03-15	12:40	2097	0.14	
2016-03-17	13:40	2281	0.20	
2017-01-05	15:00	226	0.30	
2017-01-09	17:20	12769	1.71	
2017-01-10	15:00	3596	0.91	
2017-01-11	16:00	13730	0.82	
2017-01-14	15:30	3891	0.24	
2017-01-19	12:20	6693	0.37	
2017-01-20	10:00	6730	0.49	
2017-01-21	8:40	10265	1.25	
2017-01-23	12:30	9684	0.76	
2017-01-26	12:00	3503	0.10	<
2017-02-01	13:30	3118	0.11	
2017-02-08	13:50	11260	0.70	
2017-02-10	14:50	11504	0.81	
2017-02-21	13:20	13344	0.65	
2017-03-16	16:20	2706	0.10	<
2017-04-04	14:40	27.1	0.51	
