Dates	Time	Flow	SSC					
10d	8s	6n	6n					
2012-12-03	14:00	1900	1022					
2012-12-05	14:10	274	166					
2012-12-23	11:00	1750	459					
2012-12-24	12:40	7340	1624					
2012-12-27	14:00	960	159					
2014-12-12	15:50	5362	1710					
2014-12-13	10:00	3030	644					
2014-12-15	11:00	912	440					
2014-12-16	17:50	2524	244					
2014-12-20	15:00	2097	87					
2015-02-09	14:00	1171	357					
2015-02-10	13:30	1228	321					
2016-01-24	10:30	65.4	45					
2016-03-10	16:10	113	108					
2016-03-12	14:10	3847	378					
2016-03-13	12:40	3182	300					
2016-03-14	13:00	2600	342					
2016-03-15	12:40	2097	212					
2016-03-17	13:40	2281	142					
2017-01-05	15:00	226	152					
2017-01-09	17:20	12769	1520					
2017-01-10	15:00	3596	562					
2017-01-11	16:00	13730	968					
2017-01-14	15:30	3891	224					
2017-01-19	12:20	6693	360					
2017-01-20	10:00	6730	530					
2017-01-21	8:40	10265	992					
2017-01-23	12:30	9684	704					
2017-01-26	12:00	3503	67					
2017-02-01	13:30	3118	38					
2017-02-08	13:50	11260	356					
2017-02-10	14:50	11504	714					
2017-02-21	13:20	13344	670					
2017-03-16	16:20	2706	16					
2017-04-04	14:40	27.1	54					
2019-01-17	13:45	6401	1170					
2019-01-18	13:40	5438	670					
2019-02-05	16:20	953	255					
2019-02-14	15:20	13730	1211.5					
2019-02-15	13:17	11138	1346.5					
2019-02-27	15:30	17390	999					
2019-02-28	14:20	11586	804					
2019-03-01	9:30	6549	189					
2019-03-05	13:40	4471	95					
2019-03-07	12:20	8195	286					
2019-03-28	12:00	4244	42					
2019-04-17	13:10	177	6					
