Dates	Time	Flow	pMeHg	
10d	8s	6n	6n	
2012-12-03	14:00	1900	1.19	
2012-12-05	14:10	274	0.47	
2012-12-23	11:00	1750	0.53	
2012-12-24	12:40	7340	1.57	
2012-12-27	14:00	960	0.21	
2014-12-12	15:50	5362	1.27	
2014-12-13	10:00	3030	0.43	
2014-12-15	11:00	912	0.37	
2014-12-16	17:50	2524	0.10	<
2014-12-20	15:00	2097	0.10	<
2015-02-09	14:00	1171	0.53	
2015-02-10	13:30	1228	0.30	
2016-01-24	10:30	65.4	0.10	<
2016-03-10	16:10	113	0.10	<
2016-03-12	14:10	3847	0.28	
2016-03-13	12:40	3182	0.22	
2016-03-14	13:00	2600	0.34	
2016-03-15	12:40	2097	0.14	
2016-03-17	13:40	2281	0.20	
2017-01-05	15:00	226	0.30	
2017-01-09	17:20	12769	1.71	
2017-01-10	15:00	3596	0.91	
2017-01-11	16:00	13730	0.82	
2017-01-14	15:30	3891	0.24	
2017-01-19	12:20	6693	0.37	
2017-01-20	10:00	6730	0.49	
2017-01-21	8:40	10265	1.25	
2017-01-23	12:30	9684	0.76	
2017-01-26	12:00	3503	0.10	<
2017-02-01	13:30	3118	0.10	<
2017-02-08	13:50	11260	0.70	
2017-02-10	14:50	11504	0.81	
2017-02-21	13:20	13344	0.65	
2017-03-16	16:20	2706	0.10	<
2017-04-04	14:40	27.1	0.51	
2019-01-17	13:45	6401	1.04	
2019-01-18	13:40	5438	0.61	
2019-02-05	16:20	953	0.32	
2019-02-14	15:20	13730	1.65	
2019-02-15	13:17	11138	1.90	
2019-02-27	15:30	17390	1.03	
2019-02-28	14:20	11586	0.93	
2019-03-01	9:30	6549	0.27	
2019-03-05	13:40	4471	0.19	
2019-03-07	12:20	8195	0.35	
2019-03-28	12:00	4244	0.13	
2019-04-17	13:10	177	0.10	
