Dates	Time	Flow	wwMeHg	
10d	8s	6n	6n	
2012-12-03	14:00	1900	1.27	
2012-12-05	14:10	274	0.54	
2012-12-23	11:00	1750	0.63	
2012-12-24	12:40	7340	1.64	
2012-12-27	14:00	960	0.29	
2014-12-12	15:50	5362	1.31	
2014-12-13	10:00	3030	0.50	
2014-12-15	11:00	912	0.43	
2014-12-16	17:50	2524	0.15	<
2014-12-20	15:00	2097	0.16	<
2015-02-09	14:00	1171	0.63	
2015-02-10	13:30	1228	0.36	
2016-01-24	10:30	65.4	0.18	<
2016-03-10	16:10	113	0.20	<
2016-03-12	14:10	3847	0.36	
2016-03-13	12:40	3182	0.29	
2016-03-14	13:00	2600	0.40	
2016-03-15	12:40	2097	0.19	
2016-03-17	13:40	2281	0.25	
2017-01-05	15:00	226	0.37	
2017-01-09	17:20	12769	1.75	
2017-01-10	15:00	3596	0.97	
2017-01-11	16:00	13730	0.86	
2017-01-14	15:30	3891	0.29	
2017-01-19	12:20	6693	0.39	
2017-01-20	10:00	6730	0.52	
2017-01-21	8:40	10265	1.27	
2017-01-23	12:30	9684	0.79	
2017-01-26	12:00	3503	0.12	<
2017-02-01	13:30	3118	0.11	<
2017-02-08	13:50	11260	0.74	
2017-02-10	14:50	11504	0.84	
2017-02-21	13:20	13344	0.70	
2017-03-16	16:20	2706	0.14	<
2017-04-04	14:40	27.1	0.66	
2019-01-17	13:45	6401	1.09	
2019-01-18	13:40	5438	0.67	
2019-02-05	16:20	953	0.40	
2019-02-14	15:20	13730	1.70	
2019-02-15	13:17	11138	1.94	
2019-02-27	15:30	17390	1.08	
2019-02-28	14:20	11586	0.97	
2019-03-01	9:30	6549	0.30	
2019-03-05	13:40	4471	0.21	
2019-03-07	12:20	8195	0.38	
2019-03-28	12:00	4244	0.17	
2019-04-17	13:10	177	0.20	
