Dates	Time	Flow	fTHg
10d	8s	6n	6n
2016-01-24	10:30	65.4	6.19
2016-03-10	16:10	113	8.24
2016-03-12	14:10	3847	10.2
2016-03-13	12:40	3182	9.05
2016-03-14	13:00	2600	6.14
2016-03-15	12:40	2097	4.74
2016-03-17	13:40	2281	2.87
2017-01-05	15:00	226	4.29
2017-01-09	17:20	12769	7.69
2017-01-10	15:00	3596	9.46
2017-01-11	16:00	13730	8.63
2017-01-14	15:30	3891	3.03
2017-01-19	12:20	6693	2.28
2017-01-20	10:00	6730	7.08
2017-01-21	8:40	10265	6.36
2017-01-23	12:30	9684	6.52
2017-01-26	12:00	3503	1.49
2017-02-01	13:30	3118	1.15
2017-02-08	13:50	11260	5.72
2017-02-10	14:50	11504	7.32
2017-02-21	13:20	13344	3.89
2017-03-16	16:20	2706	1.67
2017-04-04	14:40	27.1	1.88
2019-01-17	13:45	6401	5.05
2019-01-18	13:40	5438	8.99
2019-02-05	16:20	953	8.34
2019-02-14	15:20	13730	13.5
2019-02-15	13:17	11138	15.9
2019-02-27	15:30	17390	9.54
2019-02-28	14:20	11586	8.13
2019-03-01	9:30	6549	3.34
2019-03-05	13:40	4471	1.78
2019-03-07	12:20	8195	4.21
2019-03-28	12:00	4244	1.64
2019-04-17	13:10	177	1.48
