Dates	Time	Flow	SSC
10d	8s	6n	6n
2010-01-21	14:30	5964	1320
2010-01-22	9:10	4088	453
2010-01-26	12:30	5270	516
2010-01-27	9:30	3121	694
2010-04-15	9:20	1454	88
2010-12-30	15:10	777	210
2011-01-04	15:50	748	55
2011-02-23	13:00	78.7	22
2011-02-28	10:10	46.7	15
2011-03-15	10:52	1036	13
2011-03-17	11:20	1800	27
2011-03-19	19:10	4721	322
2011-03-21	9:10	9718	792
2011-03-22	8:00	5300	223
2011-03-25	11:10	11009	948
2011-04-04	8:40	3864	77
2012-12-03	14:00	1900	1022
2012-12-05	14:10	274	166
2012-12-23	11:00	1750	459
2012-12-24	12:40	7378	1624
2012-12-27	14:00	960	159
2014-12-12	15:50	5362	1710
2014-12-13	10:00	3030	644
2014-12-15	11:00	912	440
2014-12-16	17:50	2524	244
2014-12-20	15:00	2097	87
2015-02-09	14:00	1171	357
2015-02-10	13:30	1228	321
