Dates	Time	Flow	pTHg
10d	8s	6n	6n
2016-01-24	10:30	65	9.6
2016-03-10	16:35	123	24
2016-03-12	13:15	3702	61
2016-03-13	12:05	3061	53
2016-03-14	12:35	2628	66
2016-03-15	12:10	2108	40
2016-03-17	13:25	2270	22
2017-01-05	14:45	205	16
2017-01-09	17:30	12569	272
2017-01-10	14:30	3743	187
2017-01-11	16:00	13730	161
2017-01-14	15:35	3891	48
2017-01-19	12:30	6730	63
2017-01-20	10:45	6730	187
2017-01-21	9:25	10109	180
2017-01-23	11:55	9896	125
2017-01-26	11:30	3453	19
2017-02-01	13:00	3074	8.3
2017-02-08	13:50	11260	178
2017-02-10	14:45	11504	115
2017-02-21	13:25	13421	148
2017-03-16	15:30	2706	4.0
2017-04-04	15:00	28	11
