Dates	Time	Flow	Silt+Clay
10d	8s	6n	6n
2016-12-11	15:00	422	193
2016-12-16	12:40	3149	1188
2016-12-17	11:40	780	199
2017-01-04	16:40	2125	966
2017-01-08	14:30	3804	1842
2017-01-09	13:30	12186	1634
2017-01-11	12:00	15909	1901
2017-01-14	12:10	3549	670
2017-01-19	12:30	8944	2331
2017-01-20	13:30	6681	1755
2017-01-21	11:40	6705	904
2017-01-24	11:00	4889	681
2017-02-02	10:30	3191	382
2017-02-08	10:30	8559	1152
2017-02-10	11:10	10802	1172
2017-02-21	11:00	14070	1665
2017-03-16	10:50	3001	239
2017-04-04	10:30	553	68.2
2017-04-26	10:30	358	64.4
2018-01-09	15:40	82	263
2018-01-10	9:20	41	72.2
2018-01-25	15:00	29	13.9
2018-02-12	13:30	9.4	4.9
2018-03-07	13:00	23	8.2
2018-03-23	10:55	930	375
2018-04-07	16:40	649	446
2018-04-08	11:00	752	174
