Dates	Time	Flow	fMeHg
10d	8s	6n	6n
2016-12-11	15:00	422	0.040
2016-12-16	12:40	3149	0.090
2016-12-17	11:40	780	0.080
2017-01-04	16:40	2125	0.057
2017-01-08	14:30	3804	0.024
2017-01-09	13:30	12186	0.045
2017-01-11	12:00	15909	0.041
2017-01-14	12:10	3549	0.027
2017-01-19	12:30	8944	0.033
2017-01-20	13:30	6681	0.030
2017-01-21	11:40	6705	0.023
2017-01-24	11:00	4889	0.015
2017-02-02	10:30	3191	0.011
2017-02-08	10:30	8559	0.026
2017-02-10	11:10	10802	0.046
2017-02-21	11:00	14070	0.035
2017-03-16	10:50	3001	0.024
2017-04-04	10:30	553	0.050
2017-04-26	10:30	358	0.055
2018-01-09	15:40	82	0.075
2018-01-10	9:20	41	0.031
2018-01-25	15:00	29	0.031
2018-02-12	13:30	9.4	0.027
2018-03-07	13:00	23	0.033
2018-03-23	10:55	930	0.120
2018-04-07	16:40	649	0.108
2018-04-08	11:00	752	0.191
