Dates	Time	Flow	PwwMeHg	RwwMeHg
10d	8s	6n	6n	2s
2016-01-20	13:30	476	0.32	
2016-01-23	11:00	56	0.17	<
2016-01-24	9:38	117	0.18	<
2016-02-02	15:00	498	0.39	
2016-02-03	14:00	430	0.62	
2016-02-04	12:40	256	1.08	
2016-03-07	13:40	541	0.53	
2016-03-08	14:20	551	0.67	
2016-03-10	15:49	663	0.23	<
2016-03-12	13:23	4378	0.37	
2016-03-13	12:15	3688	0.32	
2016-03-14	12:44	3190	0.41	
2016-03-15	12:25	2637	0.24	
2016-03-17	13:35	2840	0.25	
2016-04-06	13:00	473	0.72	
2016-12-15	16:40	79	0.19	
2016-12-16	17:20	233	0.59	
2017-01-05	14:45	205	0.28	
2017-01-09	17:30	12451	1.46	
2017-01-10	14:30	3801	1.09	
2017-01-11	16:00	13750	0.76	
2017-01-14	15:35	3891	0.38	
2017-01-19	12:30	6730	0.59	
2017-01-20	10:45	6730	1.11	
2017-01-21	9:25	10109	0.91	
2017-01-23	11:55	9896	0.61	
2017-01-26	11:30	3453	0.18	<
2017-02-01	13:00	3053	0.18	
2017-02-08	13:50	11060	0.74	
2017-02-10	14:45	11505	0.67	
2017-02-21	13:25	13460	0.62	
2017-03-16	15:35	2942	0.18	<
2017-04-04	15:44	259	0.42	
2017-04-26	14:30	223	0.46	
2018-03-22	10:30	86.2	0.17	
2018-04-08	12:50	350	0.39	
