Dates	Time	Flow	pTHg
10d	8s	6n	6n
2016-01-07	15:30	423	72
2016-01-08	12:40	152	57
2016-01-09	11:50	40	54
2016-01-18	14:05	920	60
2016-01-19	10:40	983	168
2016-01-20	13:05	1763	162
2016-03-06	16:40	3739	1180
2016-03-07	17:10	3296	468
2016-03-11	16:50	4466	307
2016-03-12	13:00	3881	246
2016-03-13	11:40	4590	350
2016-03-17	11:40	2807	97
2016-04-07	12:00	253	8
2016-12-12	12:10	135	33
2016-12-16	15:50	2987	332
2016-12-17	14:10	761	51
2017-01-05	11:10	883	122
2017-01-08	16:20	3675	200
2017-01-09	15:20	12403	707
2017-01-11	14:30	15715	460
2017-01-14	14:00	3552	102
2017-01-19	13:30	8591	529
2017-01-20	15:10	6543	404
2017-01-21	13:40	6705	204
2017-01-24	13:10	4880	180
2017-02-02	12:40	3193	302
2017-02-08	12:40	8478	343
2017-02-10	13:10	10802	302
2017-02-21	12:20	14034	588
2017-03-16	13:20	2995	54
2017-04-04	13:40	543	10
2017-04-26	12:30	358	66
