Dates	Time	Flow	fMeHg
10d	8s	6n	6n
2016-01-20	13:30	476	0.070
2016-01-23	11:00	58	0.070
2016-01-24	8:40	114	0.080
2016-02-02	15:00	498	0.140
2016-02-03	14:00	430	0.250
2016-02-04	12:40	256	0.250
2016-03-07	13:40	541	0.060
2016-03-08	14:20	551	0.077
2016-03-09	14:00	856	0.070
2016-03-10	15:40	654	0.110
2016-03-12	14:20	4465	0.090
2016-03-13	13:10	3732	0.080
2016-03-14	13:30	3176	0.070
2016-03-15	13:20	2598	0.060
2016-03-17	14:20	2858	0.050
2016-04-06	13:00	473	0.202
2016-12-15	16:40	79	0.080
2016-12-16	17:20	233	0.070
2016-12-17	16:00	0.6	0.090
2017-01-09	17:50	12332	0.049
2017-01-10	15:40	3859	0.046
2017-01-11	16:40	13770	0.047
2017-02-01	14:10	3031	0.016
2017-02-08	14:40	10858	0.041
2017-02-10	15:20	11505	0.042
2017-02-21	13:50	13499	0.030
2017-03-16	16:40	2942	0.029
2017-04-04	15:50	259	0.123
2017-04-26	14:30	223	0.137
