Dates	Time	Flow	pTHg
10d	8s	6n	6n
2016-01-20	13:30	476	33
2016-01-23	11:00	58	12
2016-01-24	8:40	114	7
2016-02-02	15:00	498	23
2016-02-03	14:00	430	27
2016-02-04	12:40	256	85
2016-03-07	13:40	541	185
2016-03-08	14:20	551	188
2016-03-09	14:00	856	65
2016-03-10	15:40	654	32
2016-03-12	14:20	4465	114
2016-03-13	13:10	3732	65
2016-03-14	13:30	3176	71
2016-03-15	13:20	2598	48
2016-03-17	14:20	2858	30
2016-04-06	13:00	473	5.7
2016-12-15	16:40	79	5.2
2016-12-16	17:20	233	39
2016-12-17	16:00	0.6	58
2017-01-09	17:50	12332	489
2017-01-10	15:40	3859	147
2017-01-11	16:40	13770	427
2017-02-01	14:10	3031	20
2017-02-08	14:40	10858	196
2017-02-10	15:20	11505	267
2017-02-21	13:50	13499	316
2017-03-16	16:40	2942	14
2017-04-04	15:50	259	6.6
2017-04-26	14:30	223	4.7
