Dates	Time	Flow	Silt+Clay
10d	8s	6n	6n
2016-01-20	13:30	476	172
2016-01-23	11:00	57.7	54.5
2016-01-24	8:40	114	27.0
2016-02-02	15:00	498	71.8
2016-02-03	14:00	430	74.7
2016-02-04	12:40	256	206
2016-03-07	13:40	541	998
2016-03-08	14:20	551	825
2016-03-09	14:00	856	253
2016-03-10	15:40	654	114
2016-03-12	14:20	4465	537
2016-03-13	13:10	3732	334
2016-03-14	13:30	3176	337
2016-03-15	13:20	2598	243
2016-03-17	14:20	2858	215
2016-04-06	13:00	473	22.1
2016-12-15	16:40	79.2	13.6
2016-12-16	17:20	233	192
2017-01-09	17:50	12332	1560
2017-01-10	15:40	3859	467
2017-01-11	16:40	13770	1590
2017-02-01	14:10	3031	91.1
2017-02-08	14:40	10858	724
2017-02-10	15:20	11505	917
2017-02-21	13:50	13499	962
2017-03-16	16:40	2942	53.7
2017-04-04	15:50	259	18.4
2017-04-26	14:30	223	15.1
2018-03-22	10:30	86.2	14.6
2018-04-08	12:50	350	55.9
