,Period,Ndays,Flux,Std.Err,SEP,L95,U95,,% Std Err_Comb_Outflow,Annual Loads_Outflow (kg/year),Corrected Std.Err (kg/year)
1,WY 2016,366,0.027431631,0.00632185,0.053668,0.001067423,0.14602751,,23.0,3.2,0.73
2,WY 2017,365,0.569792633,0.172175736,0.515017072,0.09294945,1.92237235,,30.2,2.1,0.63
3,WY 2018,365,0.000396225,0.00011435,0.000822798,1.37E-05,0.002164324,,28.9,0.1,0.04
,,,,,,,,,,,
,Uncorr. Annual ,WY 2016,10.0,,,,,,,,
,Comb_Out,WY 2017,208.0,,,,,,,,
,,WY 2018,0.1,Total,218.2,(kg/3 yr),,,,,
,,,,,,,,,,,
,Annual ,wy2016,3.2,,,,,,,,
,Outflow,wy2017,2.1,,,,,,,,
,,wy2018,0.1,Total,5.4,(kg/3 yr),,,,,
