Dates	Time	Flow	wwMeHg
10d	8s	6n	6n
2016-01-20	13:30	476	0.32
2016-01-23	11:00	56.1	0.12
2016-01-24	8:40	55	0.13
2016-02-02	15:00	498	0.39
2016-02-03	14:00	430	0.62
2016-02-04	12:40	256	1.08
2016-03-07	13:40	541	0.53
2016-03-08	14:20	551	0.67
2016-03-09	14:00	556	0.25
2016-03-10	15:40	549	0.23
2016-03-12	14:20	589	0.52
2016-03-13	13:10	583	0.35
2016-03-14	13:30	576	0.37
2016-03-15	13:20	568	0.22
2016-03-17	14:20	553	0.33
2016-04-06	13:00	473	0.72
2016-12-15	16:40	79.2	0.19
2016-12-16	17:20	233	0.59
2016-12-17	16:00	0.6	0.84
2017-01-09	17:50	0.7	2.27
2017-01-10	15:40	0.7	0.90
2017-01-11	16:40	0.7	1.61
2017-02-01	14:10	0.7	0.21
2017-02-08	14:40	0.7	0.88
2017-02-10	15:20	0.7	0.95
2017-02-21	13:50	0.7	1.15
2017-03-16	16:40	236	0.17
2017-04-04	15:50	232	0.40
2017-04-26	14:30	223	0.46
2018-03-22	10:30	86.2	0.17
2018-04-08	12:50	350	0.39
