Dates	Time	Flow	SSC			
10d	8s	6n	6n			
2015-12-19	13:50	18	103			
2015-12-22	12:52	254	556			
2015-12-23	12:40	179	293			
2016-01-05	21:00	443	279			
2016-01-06	15:10	454	439			
2016-01-07	9:00	448	411			
2016-01-08	10:50	171	77			
2016-01-13	9:50	103	20			
2016-01-17	23:00	633	443			
2016-01-18	10:50	1449	1290			
2016-01-19	16:45	1507	1720			
2016-01-20	14:40	613	229			
2016-02-18	8:30	81	5.0			
2016-03-06	7:05	3219	11580			
2016-03-07	6:20	6257	8600			
2016-03-11	14:03	3785	1383			
2016-03-17	12:20	3046	703			
2016-04-07	12:10	351	23			
2016-11-20	12:30	107	23			
2016-12-10	22:50	805	700			
2016-12-15	21:00	4604	1860			
2016-12-16	9:20	1804	531			
2017-01-04	9:00	1947	1270			
2017-01-08	12:05	15682	6835			
2017-01-09	9:30	3729	1190			
2017-01-10	20:37	16061	4160			
2017-01-11	12:20	6933	1340			
2017-01-14	13:00	3260	540			
2017-01-18	22:20	7597	2510			
2017-01-19	5:55	8339	1720			
2017-01-20	13:00	9655	1680			
2017-01-22	11:17	12547	2875			
2017-01-25	13:30	4288	440			
2017-02-07	12:10	16546	3150			
2017-02-09	21:50	12182	1820			
2017-02-20	16:00	11132	1900			
2017-03-15	14:40	3104	122			
2017-04-03	15:00	715	20			
2017-04-25	11:30	414	21			
2017-05-15	12:00	509	22			
