"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2015-10-01,3.3,1.3130017336606e-07,1.26978076065867e-07,1.40062807133761e-07,2.06342130973346e-08,3.90795423399009e-07
"2",2015-10-02,2.8,1.00560793476093e-07,1.07589453911182e-07,1.1672656796941e-07,1.38140730582947e-08,3.11857974009954e-07
"3",2015-10-03,3.1,1.18697416675448e-07,1.19254993396005e-07,1.30680275877626e-07,1.77493624207231e-08,3.58835593075177e-07
"4",2015-10-04,3.2,1.24949458509326e-07,1.23122069460105e-07,1.35363829387248e-07,1.91661073948692e-08,3.74754067839536e-07
"5",2015-10-05,4,1.78318137491232e-07,1.53648695513651e-07,1.73356932206538e-07,3.22907823504103e-08,5.06248696160651e-07
"6",2015-10-06,3.9,1.71341877782106e-07,1.49873735260147e-07,1.68559895682365e-07,3.04825714633545e-08,4.89436699073722e-07
"7",2015-10-07,3.6,1.50919473418262e-07,1.38478108824961e-07,1.54248426008591e-07,2.53397666587836e-08,4.39621714536715e-07
"8",2015-10-08,4.1,1.85375624946853e-07,1.57411775370064e-07,1.78166788065287e-07,3.41448293550669e-08,5.23160151625549e-07
"9",2015-10-09,3.5,1.44287552840582e-07,1.34656230164876e-07,1.49505467685492e-07,2.37217386202343e-08,4.23232520904041e-07
"10",2015-10-10,3.6,1.50919473418262e-07,1.38478108824961e-07,1.54248426008591e-07,2.53397666587836e-08,4.39621714536715e-07
"11",2015-10-11,3.8,1.64448706283461e-07,1.46086942062395e-07,1.63775943576769e-07,2.87208747397889e-08,4.72726518673277e-07
"12",2015-10-12,3.3,1.3130017336606e-07,1.26978076065867e-07,1.40062807133761e-07,2.06342130973346e-08,3.90795423399009e-07
"13",2015-10-13,3.4,1.37747014029662e-07,1.30822844618267e-07,1.44776811042907e-07,2.21529885415597e-08,4.06956035269594e-07
"14",2015-10-14,8.5,5.57010550525468e-07,3.115138870009e-07,3.99905870255776e-07,1.52468555210107e-07,1.3427779687347e-06
"15",2015-10-15,10,7.03720941766098e-07,3.5936262850561e-07,4.79075750863458e-07,2.05386471178942e-07,1.64759243884906e-06
"16",2015-10-16,10,7.03720941766098e-07,3.5936262850561e-07,4.79075750863458e-07,2.05386471178942e-07,1.64759243884906e-06
"17",2015-10-17,11,8.05660987581993e-07,3.90102430836076e-07,5.32670361321161e-07,2.43316808523078e-07,1.85624783236304e-06
"18",2015-10-18,11,8.05660987581993e-07,3.90102430836076e-07,5.32670361321161e-07,2.43316808523078e-07,1.85624783236304e-06
"19",2015-10-19,12,9.10511397315129e-07,4.19976803610018e-07,5.86863638741925e-07,2.83114248056555e-07,2.06880213249272e-06
"20",2015-10-20,17,1.46997606432946e-06,5.57964378570307e-07,8.65610921867802e-07,5.04537740438417e-07,3.18007751617946e-06
"21",2015-10-21,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"22",2015-10-22,12,9.10511397315129e-07,4.19976803610018e-07,5.86863638741925e-07,2.83114248056555e-07,2.06880213249272e-06
"23",2015-10-23,11,8.05660987581993e-07,3.90102430836076e-07,5.32670361321161e-07,2.43316808523078e-07,1.85624783236304e-06
"24",2015-10-24,11,8.05660987581993e-07,3.90102430836076e-07,5.32670361321161e-07,2.43316808523078e-07,1.85624783236304e-06
"25",2015-10-25,11,8.05660987581993e-07,3.90102430836076e-07,5.32670361321161e-07,2.43316808523078e-07,1.85624783236304e-06
"26",2015-10-26,12,9.10511397315129e-07,4.19976803610018e-07,5.86863638741925e-07,2.83114248056555e-07,2.06880213249272e-06
"27",2015-10-27,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"28",2015-10-28,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"29",2015-10-29,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"30",2015-10-30,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"31",2015-10-31,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"32",2015-11-01,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"33",2015-11-02,18,1.58764741868117e-06,5.83559516153712e-07,9.22725905442258e-07,5.52463828737951e-07,3.41050526178752e-06
"34",2015-11-03,17,1.46997606432946e-06,5.57964378570307e-07,8.65610921867802e-07,5.04537740438417e-07,3.18007751617946e-06
"35",2015-11-04,18,1.58764741868117e-06,5.83559516153712e-07,9.22725905442258e-07,5.52463828737951e-07,3.41050526178752e-06
"36",2015-11-05,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"37",2015-11-06,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"38",2015-11-07,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"39",2015-11-08,12,9.10511397315129e-07,4.19976803610018e-07,5.86863638741925e-07,2.83114248056555e-07,2.06880213249272e-06
"40",2015-11-09,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"41",2015-11-10,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"42",2015-11-11,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"43",2015-11-12,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"44",2015-11-13,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"45",2015-11-14,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"46",2015-11-15,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"47",2015-11-16,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"48",2015-11-17,15,1.23994300394626e-06,5.04880470236566e-07,7.52673349483317e-07,4.12011682410198e-07,2.72682090325251e-06
"49",2015-11-18,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"50",2015-11-19,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"51",2015-11-20,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"52",2015-11-21,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"53",2015-11-22,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"54",2015-11-23,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"55",2015-11-24,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"56",2015-11-25,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"57",2015-11-26,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"58",2015-11-27,13,1.01799406975511e-06,4.49034830305261e-07,6.41617092680539e-07,3.24596804804465e-07,2.28492980580975e-06
"59",2015-11-28,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"60",2015-11-29,14,1.12787243011849e-06,4.77322011071352e-07,6.96896975400786e-07,3.6760787606837e-07,2.50435066546458e-06
"61",2015-11-30,15,1.23994300394626e-06,5.04880470236566e-07,7.52673349483317e-07,4.12011682410198e-07,2.72682090325251e-06
"62",2015-12-01,15,1.23994300394626e-06,5.04880470236566e-07,7.52673349483317e-07,4.12011682410198e-07,2.72682090325251e-06
"63",2015-12-02,15,1.23994300394626e-06,5.04880470236566e-07,7.52673349483317e-07,4.12011682410198e-07,2.72682090325251e-06
"64",2015-12-03,17,1.46997606432946e-06,5.57964378570307e-07,8.65610921867802e-07,5.04537740438417e-07,3.18007751617946e-06
"65",2015-12-04,20,1.82769178785061e-06,6.3301226179784e-07,1.03814741677397e-06,6.5123191790232e-07,3.87819884055572e-06
"66",2015-12-05,19,1.70692204788454e-06,6.08565800972411e-07,9.80244232715935e-07,6.0138620829226e-07,3.64325796996457e-06
"67",2015-12-06,18,1.58764741868117e-06,5.83559516153712e-07,9.22725905442258e-07,5.52463828737951e-07,3.41050526178752e-06
"68",2015-12-07,17,1.46997606432946e-06,5.57964378570307e-07,8.65610921867802e-07,5.04537740438417e-07,3.18007751617946e-06
"69",2015-12-08,17,1.46997606432946e-06,5.57964378570307e-07,8.65610921867802e-07,5.04537740438417e-07,3.18007751617946e-06
"70",2015-12-09,17,1.46997606432946e-06,5.57964378570307e-07,8.65610921867802e-07,5.04537740438417e-07,3.18007751617946e-06
"71",2015-12-10,20,1.82769178785061e-06,6.3301226179784e-07,1.03814741677397e-06,6.5123191790232e-07,3.87819884055572e-06
"72",2015-12-11,24,2.32391526960203e-06,7.25715675150085e-07,1.27328548020824e-06,8.58632664219257e-07,4.83752186193012e-06
"73",2015-12-12,30,3.10012937998808e-06,8.51874974044769e-07,1.63511868654493e-06,1.18874413302328e-06,6.3252311247652e-06
"74",2015-12-13,30,3.10012937998808e-06,8.51874974044769e-07,1.63511868654493e-06,1.18874413302328e-06,6.3252311247652e-06
"75",2015-12-14,47,5.43461471388989e-06,1.15122435139336e-06,2.70397734135288e-06,2.20064961885124e-06,1.07579008919894e-05
"76",2015-12-15,27,2.70784219477428e-06,7.90531549184974e-07,1.45295440113788e-06,1.02123566503008e-06,5.57487453995192e-06
"77",2015-12-16,19,1.70692204788454e-06,6.08565800972411e-07,9.80244232715935e-07,6.0138620829226e-07,3.64325796996457e-06
"78",2015-12-17,17,1.46997606432946e-06,5.57964378570307e-07,8.65610921867802e-07,5.04537740438417e-07,3.18007751617946e-06
"79",2015-12-18,16,1.35402911284012e-06,5.31749210870109e-07,8.08919401289904e-07,4.5768968452145e-07,2.95212638357762e-06
"80",2015-12-19,18,1.58764741868117e-06,5.83559516153712e-07,9.22725905442258e-07,5.52463828737951e-07,3.41050526178752e-06
"81",2015-12-20,22,2.07333773270004e-06,6.80332240126014e-07,1.15504136416722e-06,7.53438194055756e-07,4.35416010929005e-06
"82",2015-12-21,30,3.10012937998808e-06,8.51874974044769e-07,1.63511868654493e-06,1.18874413302328e-06,6.3252311247652e-06
"83",2015-12-22,265,3.84158039420262e-05,3.96880480459998e-06,1.77443516592193e-05,1.66075867462379e-05,7.32362101009602e-05
"84",2015-12-23,201,2.86836502491353e-05,3.1045577532686e-06,1.32813410370365e-05,1.23745909754761e-05,5.47492215370794e-05
"85",2015-12-24,106,1.4170515110429e-05,1.92590385285453e-06,6.66393714316829e-06,6.03250660170561e-06,2.72586165056307e-05
"86",2015-12-25,84,1.08524328233034e-05,1.65808777482735e-06,5.15945838989954e-06,4.57643607818669e-06,2.0990749197046e-05
"87",2015-12-26,71,8.91708256324524e-06,1.49253343595793e-06,4.28295064682703e-06,3.72669876050302e-06,1.73368584721319e-05
"88",2015-12-27,64,7.88665063057285e-06,1.39909701408872e-06,3.81628732249196e-06,3.27445135217135e-06,1.53914023329571e-05
"89",2015-12-28,60,7.30250422116018e-06,1.34383257872954e-06,3.55163922879015e-06,3.01823422796961e-06,1.42883050523209e-05
"90",2015-12-29,59,7.15706932192364e-06,1.32976734378274e-06,3.48573007999277e-06,2.95447045517361e-06,1.40136229809969e-05
"91",2015-12-30,56,6.72233951199677e-06,1.28690763060269e-06,3.28865202533413e-06,2.76395025007548e-06,1.31924094602271e-05
"92",2015-12-31,55,6.5779843727954e-06,1.27238482358784e-06,3.22318530970548e-06,2.70071757393442e-06,1.29196636466176e-05
"93",2016-01-01,52,6.14671968435975e-06,1.228040435979e-06,3.02750570771026e-06,2.51192021288421e-06,1.21046189835626e-05
"94",2016-01-02,52,6.14671968435975e-06,1.228040435979e-06,3.02750570771026e-06,2.51192021288421e-06,1.21046189835626e-05
"95",2016-01-03,51,6.00360040701609e-06,1.21298309453056e-06,2.96253020992161e-06,2.4493085321628e-06,1.18340574674975e-05
"96",2016-01-04,58,7.01189112078204e-06,1.31559434162029e-06,3.41992730792936e-06,2.89083191315931e-06,1.37394037332936e-05
"97",2016-01-05,171,2.4096246888967e-05,2.71902437737699e-06,1.11837064603045e-05,1.03745184144238e-05,4.60475834317699e-05
"98",2016-01-06,510,7.45576783896339e-05,7.46908894080772e-06,3.43868759429492e-05,3.22731425385577e-05,0.000142031376312841
"99",2016-01-07,403,5.90074015165437e-05,5.93438270698878e-06,2.72199326111732e-05,2.55380213884015e-05,0.0001124186563869
"100",2016-01-08,172,2.42492894836666e-05,2.73164743719281e-06,1.12536088612482e-05,1.04413045886457e-05,4.63377231223251e-05
"101",2016-01-09,119,1.61468369017865e-05,2.08181600027309e-06,7.56153992125904e-06,6.89878122174559e-06,3.09949343382922e-05
"102",2016-01-10,119,1.61468369017865e-05,2.08181600027309e-06,7.56153992125904e-06,6.89878122174559e-06,3.09949343382922e-05
"103",2016-01-11,112,1.50816111250617e-05,1.99789076476866e-06,7.0775884628535e-06,6.43196956490479e-06,2.8980778020231e-05
"104",2016-01-12,94,1.23554080480023e-05,1.78099708035691e-06,5.8405792723053e-06,5.23619787962101e-06,2.38291609261251e-05
"105",2016-01-13,166,2.33309768778936e-05,2.65614533619187e-06,1.08342554270547e-05,1.00404950186635e-05,4.45969555936391e-05
"106",2016-01-14,251,3.62951936065832e-05,3.77566889823446e-06,1.67706594507274e-05,1.56861890512853e-05,6.92054466985128e-05
"107",2016-01-15,262,3.79618265666093e-05,3.92725771965142e-06,1.75358567350791e-05,1.6410373433392e-05,7.23732105240136e-05
"108",2016-01-16,348,5.08717249442796e-05,5.14298398425809e-06,2.34728290900286e-05,2.20122846746517e-05,9.69309367772529e-05
"109",2016-01-17,428,6.2673355441125e-05,6.29455330598066e-06,2.89091706758242e-05,2.7126100973123e-05,0.000119399073033692
"110",2016-01-18,1360,0.000187078179065887,1.78944127010234e-05,8.61026809406757e-05,8.11225078109075e-05,0.000356010877847922
"111",2016-01-19,1046,0.000147503144547271,1.443714403463e-05,6.79572415390257e-05,6.39065849074016e-05,0.000280841341168501
"112",2016-01-20,750,0.000108170339279125,1.07627892563298e-05,4.98735009346787e-05,4.68354642422912e-05,0.00020603025099342
"113",2016-01-21,364,5.32484382776804e-05,5.37275509605346e-06,2.45671732230261e-05,2.30425253600689e-05,0.000101454788898174
"114",2016-01-22,276,4.00782720525162e-05,4.12183474970676e-06,1.8508071047423e-05,1.7329616799152e-05,7.63969515657977e-05
"115",2016-01-23,302,4.39939875513248e-05,4.48728158090656e-06,2.03080748842255e-05,1.90293319725083e-05,8.38440474481908e-05
"116",2016-01-24,262,3.79618265666093e-05,3.92725771965142e-06,1.75358567350791e-05,1.6410373433392e-05,7.23732105240136e-05
"117",2016-01-25,214,3.0667643412647e-05,3.27586575392933e-06,1.4189897277095e-05,1.32385323338122e-05,5.85153565993192e-05
"118",2016-01-26,181,2.5626394583914e-05,2.84596755556704e-06,1.18828559323494e-05,1.10420619535113e-05,4.89489716942688e-05
"119",2016-01-27,154,2.14942712975195e-05,2.50681098308179e-06,9.99616125914516e-06,9.23833783881846e-06,4.11166016354187e-05
"120",2016-01-28,135,1.85882752706008e-05,2.27451368672676e-06,8.6720460980931e-06,7.96772547317556e-06,3.56139570260168e-05
"121",2016-01-29,130,1.78245424406287e-05,2.21408305823629e-06,8.32446143952139e-06,7.63348228194942e-06,3.41686312565234e-05
"122",2016-01-30,152,2.11881983956811e-05,2.48213095904917e-06,9.85658690352695e-06,9.10459695130222e-06,4.0536807154013e-05
