"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2015-10-01,3.3,4.02451908272067e-06,5.10167403100856e-06,5.898392121639e-06,3.71463511637698e-07,1.38507621387454e-05
"2",2015-10-02,2.8,2.81525962358747e-06,3.45260073154338e-06,4.02603852447895e-06,2.71273564698867e-07,9.59455671866311e-06
"3",2015-10-03,3.1,3.32539894497879e-06,4.03515505346042e-06,4.71868988962707e-06,3.24813389960569e-07,1.12974361943604e-05
"4",2015-10-04,3.2,3.41926814160586e-06,4.08025565752782e-06,4.79318465712264e-06,3.41131409522811e-07,1.15586476564208e-05
"5",2015-10-05,4,5.12437786056952e-06,6.11245167444361e-06,7.1812786847258e-06,5.11512326520575e-07,1.73205382297232e-05
"6",2015-10-06,3.9,4.7032603606828e-06,5.48620346393114e-06,6.48596668242437e-06,4.8274190055549e-07,1.57915365390623e-05
"7",2015-10-07,3.6,3.87239014479797e-06,4.39676770518609e-06,5.23884306135306e-06,4.10799586579276e-07,1.28973957314097e-05
"8",2015-10-08,4.1,4.82275284688999e-06,5.42448212596947e-06,6.4815322981544e-06,5.17460432641683e-07,1.60174931803936e-05
"9",2015-10-09,3.5,3.39845199070455e-06,3.6966722058327e-06,4.46259197101578e-06,3.79377341161358e-07,1.11747143927819e-05
"10",2015-10-10,3.6,3.45768246027227e-06,3.69282537176139e-06,4.48397530554843e-06,3.9426609002152e-07,1.13074786322777e-05
"11",2015-10-11,3.8,3.70059443123168e-06,3.88747527420353e-06,4.74577800296032e-06,4.29993669514181e-07,1.20424189286923e-05
"12",2015-10-12,3.3,2.69130474798508e-06,2.74044865021897e-06,3.38071911172091e-06,3.23791956780915e-07,8.67732188779066e-06
"13",2015-10-13,3.4,2.74264026899536e-06,2.74111147537563e-06,3.4035033902998e-06,3.36751942796594e-07,8.79422420172385e-06
"14",2015-10-14,8.5,1.60749809794799e-05,1.69994667837982e-05,2.07075599718123e-05,1.85379110832764e-06,5.24146675740532e-05
"15",2015-10-15,10,2.12584532234036e-05,2.2344165101795e-05,2.72725777769605e-05,2.46862207776556e-06,6.91901449764617e-05
"16",2015-10-16,10,2.04063180657754e-05,2.0959042816252e-05,2.57798813429687e-05,2.43179322581176e-06,6.59626649458408e-05
"17",2015-10-17,11,2.36197588865248e-05,2.39373640645015e-05,2.9578192218324e-05,2.85652766823401e-06,7.60482473414111e-05
"18",2015-10-18,11,2.26507063417702e-05,2.24222847683562e-05,2.79350872812781e-05,2.80996737214023e-06,7.24244058088488e-05
"19",2015-10-19,12,2.57693306118302e-05,2.51390090113728e-05,3.14847136000255e-05,3.24700955455915e-06,8.20427684339507e-05
"20",2015-10-20,17,4.9004624355328e-05,4.84889026351567e-05,6.0420058198437e-05,6.08223494678131e-06,0.000156669160723801
