Dates	Time	Flow	wwMeHg
10d	8s	6n	6n
2015-12-19	13:50	18	0.08
2015-12-22	12:52	252	0.75
2015-12-23	12:40	179	0.37
2016-01-05	21:00	451	0.34
2016-01-06	15:10	450	0.42
2016-01-07	9:00	448	0.58
2016-01-08	10:50	171	0.11
2016-01-13	9:50	103	0.09
2016-01-17	23:00	633	0.34
2016-01-18	10:50	1446	1.21
2016-01-19	16:45	1507	1.24
2016-01-20	14:40	615	0.29
2016-02-18	8:30	81	0.10
2016-03-06	7:05	3225	8.98
2016-03-07	6:20	6257	13.31
2016-03-11	14:03	3772	0.89
2016-03-17	12:20	3022	0.51
2016-04-07	12:10	361	0.46
2016-11-20	12:30	107	0.17
2016-12-10	22:50	796	2.26
2016-12-15	21:00	4604	6.17
2016-12-16	9:20	1794	0.98
2017-01-04	9:00	1947	1.16
2017-01-08	12:05	15813	5.92
2017-01-09	9:30	3736	1.27
2017-01-10	20:37	16154	2.62
2017-01-11	12:20	6933	0.78
2017-01-14	13:00	3260	0.40
2017-01-18	22:20	7610	1.21
2017-01-19	5:55	8329	1.48
2017-01-20	13:00	9655	1.23
2017-01-22	11:17	12549	1.90
2017-01-25	13:30	4288	0.26
2017-02-07	12:10	16624	2.63
2017-02-09	21:50	12016	1.11
2017-02-20	16:00	11132	1.05
2017-03-15	14:40	3143	0.21
2017-04-03	15:00	715	0.17
2017-04-25	11:30	419	0.27
2017-05-15	12:00	509	0.30
