Dates	Time	Flow	Sand
10d	8s	6n	6n
2014-12-03	12:20	56	1.9
2014-12-08	9:04	55	0.7
2014-12-11	14:59	13401	432
2014-12-12	0:50	5330	149
2014-12-14	13:00	369	1.8
2014-12-18	14:17	762	8.3
2014-12-31	14:10	125	0.5
2015-02-07	12:07	2254	42.3
2015-02-09	14:25	1259	10.8
2015-05-06	16:02	388	1.9
2015-05-22	11:04	416	2.0
2015-06-01	10:42	376	1.1
2015-12-19	13:50	18	12.8
2015-12-22	12:52	252	12.0
2015-12-23	12:40	179	4.4
2016-01-05	21:00	451	11.2
2016-01-06	15:10	450	4.4
2016-01-07	9:00	448	4.1
2016-01-08	10:50	171	1.5
2016-01-13	9:50	103	1.6
2016-01-17	23:00	633	8.9
2016-01-18	10:50	1446	38.7
2016-01-19	16:45	1507	34.4
2016-01-20	14:40	615	4.6
2016-02-18	8:30	81	1.6
2016-03-06	7:05	3225	425
2016-03-07	6:20	6257	946
2016-03-11	14:03	3772	130
2016-03-17	12:20	3022	84.4
2016-04-07	12:10	361	1.2
2016-11-20	12:30	107	1.8
2016-12-10	22:50	796	49.0
2016-12-15	21:00	4604	260
2016-12-16	9:20	1794	58.4
2017-01-04	9:00	1947	38.1
2017-01-08	12:05	15813	513
2017-01-09	9:30	3736	59.5
2017-01-10	20:37	16154	667
2017-01-11	12:20	6933	147
2017-01-14	13:00	3260	64.8
2017-01-18	22:20	7610	678
2017-01-19	5:55	8329	265
2017-01-20	13:00	9655	218
2017-01-22	11:17	12549	531
2017-01-25	13:30	4288	57.2
2017-02-07	12:10	16624	851
2017-02-09	21:50	12016	473
2017-02-20	16:00	11132	627
2017-03-15	14:40	3143	18.9
2017-04-03	15:00	715	3.4
2017-04-25	11:30	419	2.5
2017-05-15	12:00	509	1.8
