"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2015-10-01,3.3,2.69364486113472e-07,1.33893128471746e-07,3.46386362758851e-07,3.15787628794911e-08,8.6585187073803e-07
"2",2015-10-02,2.8,2.07702727564688e-07,1.06694797202812e-07,2.68446275773389e-07,2.41438131603471e-08,6.6910771092687e-07
"3",2015-10-03,3.1,2.43999012359171e-07,1.22816683591117e-07,3.14363256655003e-07,2.85140590976544e-08,7.84961491788865e-07
"4",2015-10-04,3.2,2.56567110288649e-07,1.28323017957211e-07,3.30236309867935e-07,3.00315553195472e-08,8.25048066065431e-07
"5",2015-10-05,4,3.65127038983087e-07,1.74564898973575e-07,4.6689658056745e-07,4.32116612027204e-08,1.17080426102822e-06
"6",2015-10-06,3.9,3.5080278227112e-07,1.68582484880798e-07,4.48904286774241e-07,4.14661120231163e-08,1.12522711116994e-06
"7",2015-10-07,3.6,3.09102689096191e-07,1.50973064928475e-07,3.96461808296115e-07,3.6395006643851e-08,9.92472893605217e-07
"8",2015-10-08,4.1,3.79659518516507e-07,1.80601962866962e-07,4.85139800274555e-07,4.49843178840846e-08,1.21703197824897e-06
"9",2015-10-09,3.5,2.95635111025145e-07,1.45219394403139e-07,3.79502627236877e-07,3.47608384576456e-08,9.49573266921587e-07
"10",2015-10-10,3.6,3.09102689096191e-07,1.50973064928475e-07,3.96461808296115e-07,3.6395006643851e-08,9.92472893605217e-07
"11",2015-10-11,3.8,3.36689039354934e-07,1.62655691769132e-07,4.31165749633091e-07,3.9747954876972e-08,1.08030777432772e-06
"12",2015-10-12,3.3,2.69364486113472e-07,1.33893128471746e-07,3.46386362758851e-07,3.15787628794911e-08,8.6585187073803e-07
"13",2015-10-13,3.4,2.82388117922399e-07,1.39525678074145e-07,3.62809665150498e-07,3.31553095904906e-08,9.07363328140744e-07
"14",2015-10-14,8.5,1.20011211336742e-06,4.90182217525298e-07,1.50535859014465e-06,1.46672080258996e-07,3.81584421058914e-06
