Dates	Time	Flow	wwMeHg
10d	8s	6n	6n
2016-01-24	10:30	65	0.13
2016-03-10	16:35	123	0.19
2016-03-12	13:15	3702	0.34
2016-03-13	12:05	3061	0.32
2016-03-14	12:35	2628	0.42
2016-03-15	12:10	2108	0.25
2016-03-17	13:25	2270	0.23
2017-01-05	14:45	205	0.28
2017-01-09	17:30	12569	1.46
2017-01-10	14:30	3743	1.09
2017-01-11	16:00	13730	0.76
2017-01-14	15:35	3891	0.38
2017-01-19	12:30	6730	0.59
2017-01-20	10:45	6730	1.11
2017-01-21	9:25	10109	0.91
2017-01-23	11:55	9896	0.61
2017-01-26	11:30	3453	0.17
2017-02-01	13:00	3074	0.18
2017-02-08	13:50	11260	0.74
2017-02-10	14:45	11504	0.67
2017-02-21	13:25	13421	0.62
2017-03-16	15:30	2706	0.16
2017-04-04	15:00	28	0.60
