Dates	Time	Flow	wwTHg
10d	8s	6n	6n
2016-01-24	10:30	65	16
2016-03-10	16:35	123	32
2016-03-12	13:15	3702	70
2016-03-13	12:05	3061	62
2016-03-14	12:35	2628	74
2016-03-15	12:10	2108	47
2016-03-17	13:25	2270	27
2017-01-05	14:45	205	20
2017-01-09	17:30	12569	279
2017-01-10	14:30	3743	194
2017-01-11	16:00	13730	168
2017-01-14	15:35	3891	53
2017-01-19	12:30	6730	66
2017-01-20	10:45	6730	192
2017-01-21	9:25	10109	185
2017-01-23	11:55	9896	130
2017-01-26	11:30	3453	21
2017-02-01	13:00	3074	9.8
2017-02-08	13:50	11260	183
2017-02-10	14:45	11504	120
2017-02-21	13:25	13421	152
2017-03-16	15:30	2706	5.7
2017-04-04	15:00	28	13
