"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2016-10-01,0,0,0,0,0,0
"2",2016-10-02,0,0,0,0,0,0
"3",2016-10-03,0,0,0,0,0,0
"4",2016-10-04,18,0.000133589746403279,7.39793085485682e-05,9.60034513864149e-05,3.53067584353806e-05,0.000333319402892646
"5",2016-10-05,2.3,3.00896780584726e-06,2.66613385159839e-06,3.00126073792138e-06,5.01909740291036e-07,9.04256935717034e-06
"6",2016-10-06,0,0,0,0,0,0
"7",2016-10-07,0,0,0,0,0,0
"8",2016-10-08,0,0,0,0,0,0
"9",2016-10-09,0,0,0,0,0,0
"10",2016-10-10,0,0,0,0,0,0
"11",2016-10-11,0,0,0,0,0,0
"12",2016-10-12,0,0,0,0,0,0
"13",2016-10-13,0,0,0,0,0,0
"14",2016-10-14,0,0,0,0,0,0
"15",2016-10-15,0,0,0,0,0,0
"16",2016-10-16,0,0,0,0,0,0
"17",2016-10-17,0,0,0,0,0,0
"18",2016-10-18,0,0,0,0,0,0
"19",2016-10-19,0,0,0,0,0,0
"20",2016-10-20,0,0,0,0,0,0
"21",2016-10-21,0,0,0,0,0,0
"22",2016-10-22,0,0,0,0,0,0
"23",2016-10-23,0,0,0,0,0,0
"24",2016-10-24,0,0,0,0,0,0
"25",2016-10-25,0,0,0,0,0,0
"26",2016-10-26,0,0,0,0,0,0
"27",2016-10-27,0,0,0,0,0,0
"28",2016-10-28,0,0,0,0,0,0
"29",2016-10-29,0,0,0,0,0,0
"30",2016-10-30,0,0,0,0,0,0
"31",2016-10-31,0,0,0,0,0,0
"32",2016-11-01,0,0,0,0,0,0
"33",2016-11-02,0,0,0,0,0,0
"34",2016-11-03,0,0,0,0,0,0
"35",2016-11-04,0,0,0,0,0,0
"36",2016-11-05,0,0,0,0,0,0
"37",2016-11-06,0,0,0,0,0,0
"38",2016-11-07,0,0,0,0,0,0
"39",2016-11-08,0,0,0,0,0,0
"40",2016-11-09,0,0,0,0,0,0
"41",2016-11-10,0,0,0,0,0,0
"42",2016-11-11,0,0,0,0,0,0
"43",2016-11-12,0,0,0,0,0,0
"44",2016-11-13,0,0,0,0,0,0
"45",2016-11-14,0,0,0,0,0,0
"46",2016-11-15,0,0,0,0,0,0
"47",2016-11-16,0,0,0,0,0,0
"48",2016-11-17,0,0,0,0,0,0
"49",2016-11-18,0,0,0,0,0,0
"50",2016-11-19,0,0,0,0,0,0
"51",2016-11-20,0,0,0,0,0,0
"52",2016-11-21,0,0,0,0,0,0
"53",2016-11-22,0,0,0,0,0,0
"54",2016-11-23,0,0,0,0,0,0
"55",2016-11-24,0,0,0,0,0,0
"56",2016-11-25,0,0,0,0,0,0
"57",2016-11-26,0,0,0,0,0,0
"58",2016-11-27,0,0,0,0,0,0
"59",2016-11-28,0,0,0,0,0,0
"60",2016-11-29,0,0,0,0,0,0
"61",2016-11-30,0,0,0,0,0,0
"62",2016-12-01,0,0,0,0,0,0
"63",2016-12-02,0,0,0,0,0,0
"64",2016-12-03,0,0,0,0,0,0
"65",2016-12-04,0,0,0,0,0,0
"66",2016-12-05,0,0,0,0,0,0
"67",2016-12-06,0,0,0,0,0,0
"68",2016-12-07,0,0,0,0,0,0
"69",2016-12-08,0,0,0,0,0,0
"70",2016-12-09,0,0,0,0,0,0
"71",2016-12-10,0,0,0,0,0,0
"72",2016-12-11,180,0.00896520534321835,0.00264119373330914,0.00488228453199421,0.0032444199175559,0.0191067932638607
"73",2016-12-12,134,0.00524084994363854,0.00169362640273311,0.00293772173980235,0.00184142906173854,0.0113496952676422
"74",2016-12-13,37,0.000500398253028291,0.000231601718498206,0.000325833018312502,0.000149071349679044,0.00117958584807928
"75",2016-12-14,15,9.55812979562707e-05,5.52967227857061e-05,7.05280370215362e-05,2.44273341696328e-05,0.000242152502100409
"76",2016-12-15,15,9.55812979562707e-05,5.52967227857061e-05,7.05280370215362e-05,2.44273341696328e-05,0.000242152502100409
"77",2016-12-16,2107,0.767553926250307,0.0887366494105092,0.362576813664925,0.317906672643375,1.51509931210556
"78",2016-12-17,832,0.143706540360173,0.0239668486774124,0.0700473546232099,0.0578592494552084,0.288405175005146
"79",2016-12-18,286,0.0207878322447466,0.00524290247493929,0.0108692109242297,0.00783280031450925,0.0433252412915935
"80",2016-12-19,121,0.00435222024392421,0.00145065886966452,0.00246535341258896,0.00151260383657915,0.00948057388218959
