Dates	Time	Flow	SSC
10d	8s	6n	6n
2016-12-11	15:00	422	210
2016-12-16	12:40	3149	1200
2016-12-17	11:40	780	207
2017-01-04	16:40	2125	986
2017-01-08	14:30	3804	1880
2017-01-09	13:30	12186	1650
2017-01-11	12:00	15909	1940
2017-01-14	12:10	3549	761
2017-01-19	12:30	8944	2530
2017-01-20	13:30	6681	1950
2017-01-21	11:40	6705	983
2017-01-24	11:00	4889	779
2017-02-02	10:30	3191	477
2017-02-08	10:30	8559	1340
2017-02-10	11:10	10802	1260
2017-02-21	11:00	14070	1830
2017-03-16	10:50	3001	336
2017-04-04	10:30	553	96
2017-04-26	10:30	358	195
2018-01-09	15:40	82	274
2018-01-10	9:20	41	76
2018-01-25	15:00	29	18
2018-02-12	13:30	9.4	13
2018-03-07	13:00	23	9
2018-03-23	10:55	930	418
2018-04-07	16:40	649	549
2018-04-08	11:00	752	200
