Dates	Time	Flow	Sand
10d	8s	6n	6n
2016-12-11	15:00	422	16.8
2016-12-16	12:40	3149	12.0
2016-12-17	11:40	780	8.3
2017-01-04	16:40	2125	19.7
2017-01-08	14:30	3804	37.6
2017-01-09	13:30	12186	16.5
2017-01-11	12:00	15909	38.8
2017-01-14	12:10	3549	91.3
2017-01-19	12:30	8944	199
2017-01-20	13:30	6681	195
2017-01-21	11:40	6705	78.6
2017-01-24	11:00	4889	97.8
2017-02-02	10:30	3191	95.4
2017-02-08	10:30	8559	188
2017-02-10	11:10	10802	88.2
2017-02-21	11:00	14070	165
2017-03-16	10:50	3001	97.4
2017-04-04	10:30	553	27.8
2017-04-26	10:30	358	131
2018-01-09	15:40	82	11.0
2018-01-10	9:20	41	3.8
2018-01-25	15:00	29	4.1
2018-02-12	13:30	9.4	8.1
2018-03-07	13:00	23	0.8
2018-03-23	10:55	930	43.3
2018-04-07	16:40	649	103
2018-04-08	11:00	752	26.0
