"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2016-10-01,0,0,0,0,0,0
"2",2016-10-02,0,0,0,0,0,0
"3",2016-10-03,0,0,0,0,0,0
"4",2016-10-04,18,2.33989195600932e-05,3.5037067717042e-05,3.74122752068124e-05,1.8000521953173e-06,8.55244491405824e-05
"5",2016-10-05,2.3,2.91319729152821e-06,4.52351276807667e-06,4.80931839953625e-06,2.11439699339369e-07,1.07741380671474e-05
"6",2016-10-06,0,0,0,0,0,0
"7",2016-10-07,0,0,0,0,0,0
"8",2016-10-08,0,0,0,0,0,0
"9",2016-10-09,0,0,0,0,0,0
"10",2016-10-10,0,0,0,0,0,0
"11",2016-10-11,0,0,0,0,0,0
"12",2016-10-12,0,0,0,0,0,0
"13",2016-10-13,0,0,0,0,0,0
"14",2016-10-14,0,0,0,0,0,0
"15",2016-10-15,0,0,0,0,0,0
"16",2016-10-16,0,0,0,0,0,0
"17",2016-10-17,0,0,0,0,0,0
"18",2016-10-18,0,0,0,0,0,0
"19",2016-10-19,0,0,0,0,0,0
"20",2016-10-20,0,0,0,0,0,0
"21",2016-10-21,0,0,0,0,0,0
"22",2016-10-22,0,0,0,0,0,0
"23",2016-10-23,0,0,0,0,0,0
"24",2016-10-24,0,0,0,0,0,0
"25",2016-10-25,0,0,0,0,0,0
"26",2016-10-26,0,0,0,0,0,0
"27",2016-10-27,0,0,0,0,0,0
"28",2016-10-28,0,0,0,0,0,0
"29",2016-10-29,0,0,0,0,0,0
"30",2016-10-30,0,0,0,0,0,0
"31",2016-10-31,0,0,0,0,0,0
"32",2016-11-01,0,0,0,0,0,0
"33",2016-11-02,0,0,0,0,0,0
"34",2016-11-03,0,0,0,0,0,0
"35",2016-11-04,0,0,0,0,0,0
"36",2016-11-05,0,0,0,0,0,0
"37",2016-11-06,0,0,0,0,0,0
"38",2016-11-07,0,0,0,0,0,0
"39",2016-11-08,0,0,0,0,0,0
"40",2016-11-09,0,0,0,0,0,0
"41",2016-11-10,0,0,0,0,0,0
"42",2016-11-11,0,0,0,0,0,0
"43",2016-11-12,0,0,0,0,0,0
"44",2016-11-13,0,0,0,0,0,0
"45",2016-11-14,0,0,0,0,0,0
"46",2016-11-15,0,0,0,0,0,0
"47",2016-11-16,0,0,0,0,0,0
"48",2016-11-17,0,0,0,0,0,0
"49",2016-11-18,0,0,0,0,0,0
"50",2016-11-19,0,0,0,0,0,0
"51",2016-11-20,0,0,0,0,0,0
"52",2016-11-21,0,0,0,0,0,0
"53",2016-11-22,0,0,0,0,0,0
"54",2016-11-23,0,0,0,0,0,0
"55",2016-11-24,0,0,0,0,0,0
"56",2016-11-25,0,0,0,0,0,0
"57",2016-11-26,0,0,0,0,0,0
"58",2016-11-27,0,0,0,0,0,0
"59",2016-11-28,0,0,0,0,0,0
"60",2016-11-29,0,0,0,0,0,0
"61",2016-11-30,0,0,0,0,0,0
"62",2016-12-01,0,0,0,0,0,0
"63",2016-12-02,0,0,0,0,0,0
"64",2016-12-03,0,0,0,0,0,0
"65",2016-12-04,0,0,0,0,0,0
"66",2016-12-05,0,0,0,0,0,0
"67",2016-12-06,0,0,0,0,0,0
"68",2016-12-07,0,0,0,0,0,0
"69",2016-12-08,0,0,0,0,0,0
"70",2016-12-09,0,0,0,0,0,0
"71",2016-12-10,0,0,0,0,0,0
"72",2016-12-11,180,3.41404754690189e-05,1.06444516219073e-05,2.19007685542113e-05,1.05063431428896e-05,7.85966122260547e-05
"73",2016-12-12,134,2.47624837064836e-05,7.66552809325786e-06,1.58582152230378e-05,7.63500686684856e-06,5.69534723992139e-05
"74",2016-12-13,37,6.66508145495866e-06,2.24699215191992e-06,4.36018586810729e-06,2.00534414897999e-06,1.55134072249161e-05
"75",2016-12-14,15,2.62740225847793e-06,9.54409609163487e-07,1.75516008841367e-06,7.71394660607284e-07,6.18774615006415e-06
"76",2016-12-15,15,2.55956737224045e-06,9.13855883373311e-07,1.70124454296845e-06,7.55951560761456e-07,6.01093331445797e-06
"77",2016-12-16,2107,0.000345314121327123,8.76162199728613e-05,0.000212495445544063,0.000111349773035446,0.000776741230433407
"78",2016-12-17,832,0.000133882719221485,3.29065532591758e-05,8.19544856997887e-05,4.34232407164311e-05,0.000300272402002983
"79",2016-12-18,286,4.51317602618174e-05,1.13053495378017e-05,2.77128311365008e-05,1.4587864957118e-05,0.000101396640583925
