Dates	Time	Flow	wwMeHg
10d	8s	6n	6n
2016-12-11	15:00	422	0.71
2016-12-16	12:40	3149	2.57
2016-12-17	11:40	780	0.64
2017-01-04	16:40	2125	1.35
2017-01-08	14:30	3804	2.18
2017-01-09	13:30	12186	2.39
2017-01-11	12:00	15909	1.52
2017-01-14	12:10	3549	0.72
2017-01-19	12:30	8944	1.79
2017-01-20	13:30	6681	1.43
2017-01-21	11:40	6705	1.05
2017-01-24	11:00	4889	0.77
2017-02-02	10:30	3191	0.55
2017-02-08	10:30	8559	1.30
2017-02-10	11:10	10802	1.30
2017-02-21	11:00	14070	1.65
2017-03-16	10:50	3001	0.41
2017-04-04	10:30	553	0.25
2017-04-26	10:30	358	0.31
2018-01-09	15:40	82	0.63
2018-01-10	9:20	41	0.18
2018-01-25	15:00	29	0.10
2018-02-12	13:30	9.4	0.05
2018-03-07	13:00	23	0.08
2018-03-23	10:55	930	1.64
2018-04-07	16:40	649	2.24
2018-04-08	11:00	752	0.97
