Dates	Flow	SSC
10d	6n	6n
2010-01-21	5048.00	1260.00
2010-01-22	3729.00	544.80
2010-01-25	435.00	151.00
2010-01-26	4621.00	879.50
2010-01-27	3084.00	690.50
2010-02-02	277.00	24.00
2010-02-03	253.00	14.00
2010-02-05	429.96	62.40
2010-02-08	491.00	48.00
2010-02-12	378.00	49.00
2010-02-17	344.00	35.00
2010-02-19	253.00	93.00
2010-02-24	177.00	40.00
2010-02-26	297.00	19.00
2010-03-02	357.00	86.00
2010-03-05	381.21	104.00
2010-03-08	387.64	80.00
2010-03-09	383.00	14.00
2010-03-11	378.00	13.00
2010-03-15	360.00	15.00
2010-03-19	229.00	23.00
2010-03-30	105.00	48.00
2010-04-02	128.00	29.00
2010-04-06	357.00	28.00
2010-04-07	350.00	34.00
2010-04-08	302.00	27.00
2010-04-12	276.00	28.00
2010-04-13	455.00	22.15
2010-04-14	637.00	156.67
2010-04-15	2110.00	192.50
2010-04-22	708.00	37.00
2010-04-23	546.60	16.00
2010-04-27	461.00	13.00
2010-04-30	394.00	34.00
2010-05-04	445.00	18.00
2010-06-01	15.20	68.00
2010-12-23	355.00	69.56
2010-12-30	726.00	254.00
2011-01-04	763.00	65.50
2011-01-07	201.30	16.00
2011-01-14	101.50	12.00
2011-01-19	46.00	10.00
2011-01-21	50.20	15.00
2011-01-26	51.50	10.00
2011-01-27	51.90	10.00
2011-01-28	99.90	14.00
2011-01-31	123.00	10.00
2011-02-03	100.00	104.00
2011-02-08	26.30	27.00
2011-02-11	18.90	24.00
2011-02-17	444.00	275.00
2011-02-18	473.24	193.00
2011-02-19	742.00	179.00
2011-02-24	485.40	13.00
2011-02-28	531.00	31.00
2011-03-01	488.50	16.00
2011-03-04	721.00	27.00
2011-03-07	690.00	14.00
2011-03-10	1165.00	39.00
2011-03-15	1626.00	31.00
2011-03-16	1946.00	39.00
2011-03-17	2487.00	132.00
2011-03-19	4259.00	434.00
2011-03-21	9625.00	774.00
2011-03-22	5908.00	298.00
2011-03-25	10330.00	1389.60
2011-03-28	6667.00	526.00
2011-04-04	4116.00	132.00
2011-04-06	3778.00	186.00
2011-04-08	3368.00	180.00
2011-04-13	2643.00	90.00
2011-04-18	488.60	21.00
2011-04-22	369.00	21.00
