"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,368867.993808186,50651.5735116249,233154.012627493,100085.412897185,971383.082353952
"WY 2011",171,1203055.90354913,194945.816917753,556349.361374265,460755.17597373,2587818.71728978
"WY 2012",138,18583.7091583504,2541.15978467581,9902.98410772998,6155.81946076111,43694.3392691911
"WY 2013",165,374105.858151295,92881.6328902545,344445.986206265,59252.0716506207,1278347.561711
"WY 2014",91,161.507395583032,31.1577952656288,198.206883783308,15.5883501146192,667.708619212073
"WY 2015",314,172475.724548207,45158.4047824046,348995.899123852,6266.79325386074,931798.548019109
"WY 2016",214,134287.787816847,19237.5121842287,216671.556841937,7690.27350974063,650767.864552104
"WY 2017",216,2712881.27065774,451018.465049316,1541748.98291056,836236.446361524,6652449.88916625
"WY 2018",213,3539.90862737693,462.460808401111,5818.42507058642,195.42868040153,17322.1633173329
"WY 2019",212,1742491.66414335,275361.651577381,1086223.15202184,481019.770516718,4545723.74330021
