# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-06-26 19:31:26 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11452500 CACHE C A YOLO CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11452500
#            TS   parameter     Description
#         15900       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	15900_00060	15900_00060_cd
5s	15s	20d	6s	14n	10s
USGS	11452500	2016-12-11 00:00	PST	0.00	A
USGS	11452500	2016-12-11 00:15	PST	0.00	A
USGS	11452500	2016-12-11 00:30	PST	0.00	A
USGS	11452500	2016-12-11 00:45	PST	0.00	A
USGS	11452500	2016-12-11 01:00	PST	0.00	A
USGS	11452500	2016-12-11 01:15	PST	0.00	A
USGS	11452500	2016-12-11 01:30	PST	0.00	A
USGS	11452500	2016-12-11 01:45	PST	0.00	A
USGS	11452500	2016-12-11 02:00	PST	0.00	A
USGS	11452500	2016-12-11 02:15	PST	0.00	A
USGS	11452500	2016-12-11 02:30	PST	0.00	A
USGS	11452500	2016-12-11 02:45	PST	0.00	A
USGS	11452500	2016-12-11 03:00	PST	0.00	A
USGS	11452500	2016-12-11 03:15	PST	0.00	A
USGS	11452500	2016-12-11 03:30	PST	0.00	A
USGS	11452500	2016-12-11 03:45	PST	0.00	A
USGS	11452500	2016-12-11 04:00	PST	0.00	A
USGS	11452500	2016-12-11 04:15	PST	0.00	A
USGS	11452500	2016-12-11 04:30	PST	0.00	A
USGS	11452500	2016-12-11 04:45	PST	0.00	A
USGS	11452500	2016-12-11 05:00	PST	0.00	A
USGS	11452500	2016-12-11 05:15	PST	0.00	A
USGS	11452500	2016-12-11 05:30	PST	0.00	A
USGS	11452500	2016-12-11 05:45	PST	0.00	A
USGS	11452500	2016-12-11 06:00	PST	0.00	A
USGS	11452500	2016-12-11 06:15	PST	0.00	A
USGS	11452500	2016-12-11 06:30	PST	0.00	A
USGS	11452500	2016-12-11 06:45	PST	0.00	A
USGS	11452500	2016-12-11 07:00	PST	0.00	A
USGS	11452500	2016-12-11 07:15	PST	0.00	A
USGS	11452500	2016-12-11 07:30	PST	0.00	A
USGS	11452500	2016-12-11 07:45	PST	0.00	A
USGS	11452500	2016-12-11 08:00	PST	0.00	A
USGS	11452500	2016-12-11 08:15	PST	0.00	A
USGS	11452500	2016-12-11 08:30	PST	0.00	A
USGS	11452500	2016-12-11 08:45	PST	0.00	A
USGS	11452500	2016-12-11 09:00	PST	0.00	A
USGS	11452500	2016-12-11 09:15	PST	0.00	A
USGS	11452500	2016-12-11 09:30	PST	0.00	A
USGS	11452500	2016-12-11 09:45	PST	0.00	A
USGS	11452500	2016-12-11 10:00	PST	0.00	A
USGS	11452500	2016-12-11 10:15	PST	0.00	A
USGS	11452500	2016-12-11 10:30	PST	0.00	A
USGS	11452500	2016-12-11 10:45	PST	0.00	A
USGS	11452500	2016-12-11 11:00	PST	0.00	A
USGS	11452500	2016-12-11 11:15	PST	0.00	A
USGS	11452500	2016-12-11 11:30	PST	0.00	A
USGS	11452500	2016-12-11 11:45	PST	110	A
USGS	11452500	2016-12-11 12:00	PST	230	A
USGS	11452500	2016-12-11 12:15	PST	294	A
USGS	11452500	2016-12-11 12:30	PST	332	A
USGS	11452500	2016-12-11 12:45	PST	364	A
USGS	11452500	2016-12-11 13:00	PST	381	A
USGS	11452500	2016-12-11 13:15	PST	392	A
USGS	11452500	2016-12-11 13:30	PST	405	A
USGS	11452500	2016-12-11 13:45	PST	411	A
USGS	11452500	2016-12-11 14:00	PST	418	A
USGS	11452500	2016-12-11 14:15	PST	424	A
USGS	11452500	2016-12-11 14:30	PST	424	A
USGS	11452500	2016-12-11 14:45	PST	422	A
USGS	11452500	2016-12-11 15:00	PST	422	A
USGS	11452500	2016-12-11 15:15	PST	418	A
USGS	11452500	2016-12-11 15:30	PST	415	A
USGS	11452500	2016-12-11 15:45	PST	415	A
USGS	11452500	2016-12-11 16:00	PST	413	A
USGS	11452500	2016-12-11 16:15	PST	400	A
USGS	11452500	2016-12-11 16:30	PST	407	A
USGS	11452500	2016-12-11 16:45	PST	403	A
USGS	11452500	2016-12-11 17:00	PST	405	A
USGS	11452500	2016-12-11 17:15	PST	392	A
USGS	11452500	2016-12-11 17:30	PST	383	A
USGS	11452500	2016-12-11 17:45	PST	381	A
USGS	11452500	2016-12-11 18:00	PST	377	A
USGS	11452500	2016-12-11 18:15	PST	371	A
USGS	11452500	2016-12-11 18:30	PST	368	A
USGS	11452500	2016-12-11 18:45	PST	362	A
USGS	11452500	2016-12-11 19:00	PST	358	A
USGS	11452500	2016-12-11 19:15	PST	351	A
USGS	11452500	2016-12-11 19:30	PST	343	A
USGS	11452500	2016-12-11 19:45	PST	338	A
USGS	11452500	2016-12-11 20:00	PST	336	A
USGS	11452500	2016-12-11 20:15	PST	330	A
USGS	11452500	2016-12-11 20:30	PST	328	A
USGS	11452500	2016-12-11 20:45	PST	324	A
USGS	11452500	2016-12-11 21:00	PST	317	A
USGS	11452500	2016-12-11 21:15	PST	313	A
USGS	11452500	2016-12-11 21:30	PST	311	A
USGS	11452500	2016-12-11 21:45	PST	306	A
USGS	11452500	2016-12-11 22:00	PST	298	A
USGS	11452500	2016-12-11 22:15	PST	294	A
USGS	11452500	2016-12-11 22:30	PST	294	A
USGS	11452500	2016-12-11 22:45	PST	287	A
USGS	11452500	2016-12-11 23:00	PST	283	A
USGS	11452500	2016-12-11 23:15	PST	277	A
