Dates	Flow	SSC
10d	6n	6n
2016-12-11	422.0	210.000
2016-12-16	1620.0	1200.000
2016-12-17	1200.0	207.000
2017-01-04	40.3	986.000
2017-01-08	1940.0	1880.000
2017-01-09	18700.0	1650.000
2017-01-11	12100.0	1940.000
2017-01-14	3410.0	761.000
2017-01-19	4439.5	3053.684
2017-01-20	4910.0	1950.000
2017-01-21	9530.0	983.000
2017-01-24	423.0	788.151
2017-02-02	3080.0	477.000
2017-02-08	14600.0	1340.000
2017-02-10	10600.0	1260.000
2017-02-21	11800.0	1830.000
2017-03-16	3020.0	336.000
2017-04-04	554.0	96.000
2017-04-26	368.0	195.000
2018-01-09	37.9	274.000
2018-01-10	47.8	76.000
2018-01-25	29.9	18.000
2018-02-12	9.5	13.000
2018-03-07	22.8	9.000
2018-03-23	716.5	428.417
2018-04-07	195.5	798.851
2018-04-08	822.0	200.000
2018-11-30	33.3	10.000
2019-01-17	6280.0	2660.000
2019-01-18	3300.0	611.000
2019-02-03	1910.0	902.000
2019-02-05	2320.0	429.000
2019-02-13	416.0	3370.000
2019-02-14	15800.0	2060.000
2019-02-15	16200.0	1390.000
2019-02-27	24900.0	3398.474
2019-02-28	15200.0	1690.000
2019-03-05	5010.0	672.000
2019-03-07	9040.0	1060.000
2019-03-28	4460.0	822.500
2019-04-17	1090.0	220.000
