"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2016-10-01",0,0,0,0,0,0
"2016-10-02",0,0,0,0,0,0
"2016-10-03",0,0,0,0,0,0
"2016-10-04",17.6,43.5847485094655,22.1603777389438,58.6606106323512,3.31891936363638,203.583929720971
"2016-10-05",2.27,3.6709323715678,8.34593697613671,9.51743112485643,0.0731048204725799,23.8719127584403
"2016-10-06",0,0,0,0,0,0
"2016-10-07",0,0,0,0,0,0
"2016-10-08",0,0,0,0,0,0
"2016-10-09",0,0,0,0,0,0
"2016-10-10",0,0,0,0,0,0
"2016-10-11",0,0,0,0,0,0
"2016-10-12",0,0,0,0,0,0
"2016-10-13",0,0,0,0,0,0
"2016-10-14",0,0,0,0,0,0
"2016-10-15",0,0,0,0,0,0
"2016-10-16",0,0,0,0,0,0
"2016-10-17",0,0,0,0,0,0
"2016-10-18",0,0,0,0,0,0
"2016-10-19",0,0,0,0,0,0
"2016-10-20",0,0,0,0,0,0
"2016-10-21",0,0,0,0,0,0
"2016-10-22",0,0,0,0,0,0
"2016-10-23",0,0,0,0,0,0
"2016-10-24",0,0,0,0,0,0
"2016-10-25",0,0,0,0,0,0
"2016-10-26",0,0,0,0,0,0
"2016-10-27",0,0,0,0,0,0
"2016-10-28",0,0,0,0,0,0
"2016-10-29",0,0,0,0,0,0
"2016-10-30",0,0,0,0,0,0
"2016-10-31",0,0,0,0,0,0
"2016-11-01",0,0,0,0,0,0
"2016-11-02",0,0,0,0,0,0
"2016-11-03",0,0,0,0,0,0
"2016-11-04",0,0,0,0,0,0
"2016-11-05",0,0,0,0,0,0
"2016-11-06",0,0,0,0,0,0
"2016-11-07",0,0,0,0,0,0
"2016-11-08",0,0,0,0,0,0
"2016-11-09",0,0,0,0,0,0
"2016-11-10",0,0,0,0,0,0
"2016-11-11",0,0,0,0,0,0
"2016-11-12",0,0,0,0,0,0
"2016-11-13",0,0,0,0,0,0
"2016-11-14",0,0,0,0,0,0
"2016-11-15",0,0,0,0,0,0
"2016-11-16",0,0,0,0,0,0
"2016-11-17",0,0,0,0,0,0
"2016-11-18",0,0,0,0,0,0
"2016-11-19",0,0,0,0,0,0
"2016-11-20",0,0,0,0,0,0
"2016-11-21",0,0,0,0,0,0
"2016-11-22",0,0,0,0,0,0
"2016-11-23",0,0,0,0,0,0
"2016-11-24",0,0,0,0,0,0
"2016-11-25",0,0,0,0,0,0
"2016-11-26",0,0,0,0,0,0
"2016-11-27",0,0,0,0,0,0
"2016-11-28",0,0,0,0,0,0
"2016-11-29",0,0,0,0,0,0
"2016-11-30",0,0,0,0,0,0
"2016-12-01",0,0,0,0,0,0
"2016-12-02",0,0,0,0,0,0
"2016-12-03",0,0,0,0,0,0
"2016-12-04",0,0,0,0,0,0
"2016-12-05",0,0,0,0,0,0
"2016-12-06",0,0,0,0,0,0
"2016-12-07",0,0,0,0,0,0
"2016-12-08",0,0,0,0,0,0
"2016-12-09",0,0,0,0,0,0
"2016-12-10",0,0,0,0,0,0
"2016-12-11",180,295.223508829307,81.7925947696657,376.879633451947,24.8716753379486,1332.5798247846
"2016-12-12",134,240.034095654562,66.6524018384658,306.45796665722,20.2180546411745,1083.54156996174
"2016-12-13",37,86.8628009510987,30.8704035741596,112.561245382656,7.11262634982097,395.938476065136
"2016-12-14",15.4,38.1342328827995,20.9185031643761,51.9218555703388,2.83974927166912,179.440976779432
"2016-12-15",14.9,36.8773239446441,20.6212863835251,50.3698196573105,2.72937173975873,173.875456694409
"2016-12-16",2110,1215.63852108187,286.873805052436,1541.80888065442,103.68337510495,5463.73659665393
"2016-12-17",832,758.394680041641,203.742336097878,966.796569997717,64.0632625610625,3420.07733475831
"2016-12-18",286,401.575247740906,111.86182641763,512.778746784778,33.8150437636113,1812.93523918871
"2016-12-19",121,222.994551237132,62.1346237093774,284.749687510372,18.7769927474428,1006.73111795026
"2016-12-20",62.8,135.169065270808,40.8312627449931,173.321078905471,11.2923608371102,611.898816402578
"2016-12-21",40.1,93.1308573990613,32.1047539056796,120.41509215181,7.65830223903077,423.893552684738
"2016-12-22",26.3,63.9606029783666,26.3859277465338,83.9593504441929,5.10995349653192,293.99702889871
"2016-12-23",22.1,54.3464553388656,24.4496057198356,72.0028286733806,4.26552384570991,251.303069064044
"2016-12-24",34.4,81.4868371562954,29.8186169707716,105.833547045024,6.64377050251647,371.980196925237
"2016-12-25",72.1,150.818330563632,44.3312873100765,193.101981755656,12.6351097790313,682.081514371348
"2016-12-26",37.7,88.2913010968693,31.1508039008555,114.350245556236,7.23707959176531,402.30751141544
"2016-12-27",22.3,54.8133125654385,24.5454314021013,72.5826602250779,4.30656699997208,253.374857458447
"2016-12-28",15.2,37.6322853561279,20.8003529325405,51.3019586126605,2.79566233492075,177.218308091566
"2016-12-29",11.3,27.6258689404727,18.2628526697474,38.9705928240881,1.92034440470105,132.919551346831
"2016-12-30",8.37,19.8475631865282,15.937150985614,29.4232945558517,1.25137422535011,98.4440785924982
