"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2016-10-01",0,0,0,0,0,0
"2016-10-02",0,0,0,0,0,0
"2016-10-03",0,0,0,0,0,0
"2016-10-04",17.6,0.236547455396246,0.069984393945517,0.224265716094476,0.0339806273342854,0.867188615164993
"2016-10-05",2.27,0.112161620922243,0.0478832730911397,0.111800843510883,0.0148038429363351,0.426266332372754
"2016-10-06",0,0,0,0,0,0
"2016-10-07",0,0,0,0,0,0
"2016-10-08",0,0,0,0,0,0
"2016-10-09",0,0,0,0,0,0
"2016-10-10",0,0,0,0,0,0
"2016-10-11",0,0,0,0,0,0
"2016-10-12",0,0,0,0,0,0
"2016-10-13",0,0,0,0,0,0
"2016-10-14",0,0,0,0,0,0
"2016-10-15",0,0,0,0,0,0
"2016-10-16",0,0,0,0,0,0
"2016-10-17",0,0,0,0,0,0
"2016-10-18",0,0,0,0,0,0
"2016-10-19",0,0,0,0,0,0
"2016-10-20",0,0,0,0,0,0
"2016-10-21",0,0,0,0,0,0
"2016-10-22",0,0,0,0,0,0
"2016-10-23",0,0,0,0,0,0
"2016-10-24",0,0,0,0,0,0
"2016-10-25",0,0,0,0,0,0
"2016-10-26",0,0,0,0,0,0
"2016-10-27",0,0,0,0,0,0
"2016-10-28",0,0,0,0,0,0
"2016-10-29",0,0,0,0,0,0
"2016-10-30",0,0,0,0,0,0
"2016-10-31",0,0,0,0,0,0
"2016-11-01",0,0,0,0,0,0
"2016-11-02",0,0,0,0,0,0
"2016-11-03",0,0,0,0,0,0
"2016-11-04",0,0,0,0,0,0
"2016-11-05",0,0,0,0,0,0
"2016-11-06",0,0,0,0,0,0
"2016-11-07",0,0,0,0,0,0
"2016-11-08",0,0,0,0,0,0
"2016-11-09",0,0,0,0,0,0
"2016-11-10",0,0,0,0,0,0
"2016-11-11",0,0,0,0,0,0
"2016-11-12",0,0,0,0,0,0
"2016-11-13",0,0,0,0,0,0
"2016-11-14",0,0,0,0,0,0
"2016-11-15",0,0,0,0,0,0
"2016-11-16",0,0,0,0,0,0
"2016-11-17",0,0,0,0,0,0
"2016-11-18",0,0,0,0,0,0
"2016-11-19",0,0,0,0,0,0
"2016-11-20",0,0,0,0,0,0
"2016-11-21",0,0,0,0,0,0
"2016-11-22",0,0,0,0,0,0
"2016-11-23",0,0,0,0,0,0
"2016-11-24",0,0,0,0,0,0
"2016-11-25",0,0,0,0,0,0
"2016-11-26",0,0,0,0,0,0
"2016-11-27",0,0,0,0,0,0
"2016-11-28",0,0,0,0,0,0
"2016-11-29",0,0,0,0,0,0
"2016-11-30",0,0,0,0,0,0
"2016-12-01",0,0,0,0,0,0
"2016-12-02",0,0,0,0,0,0
"2016-12-03",0,0,0,0,0,0
"2016-12-04",0,0,0,0,0,0
"2016-12-05",0,0,0,0,0,0
"2016-12-06",0,0,0,0,0,0
"2016-12-07",0,0,0,0,0,0
"2016-12-08",0,0,0,0,0,0
"2016-12-09",0,0,0,0,0,0
"2016-12-10",0,0,0,0,0,0
"2016-12-11",180,0.543187383947189,0.0992650627270074,0.499235675443655,0.082146906382519,1.94705442995987
"2016-12-12",134,0.489246495810341,0.0951245552634044,0.450830925083845,0.0736737764807864,1.75701753860031
"2016-12-13",37,0.30909009472538,0.0788496358688837,0.289358448119408,0.0453457532942463,1.12281505900857
"2016-12-14",15.4,0.225404424766583,0.0684261335524451,0.214250121269544,0.0322414772340669,0.827870151401806
"2016-12-15",14.9,0.222730073284867,0.0680428629371465,0.211845380236061,0.0318244429821323,0.818430632835416
"2016-12-16",2110,1.28599529246893,0.182544913036671,1.17263567754103,0.197016645848294,4.58327202979041
"2016-12-17",832,0.93044275520628,0.13289354518376,0.848552693324723,0.14251029815705,3.31644996720748
"2016-12-18",286,0.639705432141418,0.106579161345383,0.585978587019883,0.0972761989914244,2.28745649202011
"2016-12-19",121,0.471839057525182,0.0937517591559263,0.435219233849218,0.0709373517439729,1.6957151413259
"2016-12-20",62.8,0.373545409299772,0.0853460606027051,0.347120673163749,0.0554770000885268,1.34970534854949
"2016-12-21",40.1,0.318140992353163,0.0798272983664298,0.297471552155377,0.0467672399687418,1.1546824134799
"2016-12-22",26.3,0.273406971334069,0.0747391001479359,0.257358484894738,0.039747803016465,0.997132869446347
"2016-12-23",22.1,0.256799217673098,0.0726678424100248,0.242454007741623,0.0371469102507041,0.938602957577473
"2016-12-24",34.4,0.301110954575651,0.0779671806400811,0.282205061795379,0.0440930527823028,1.09471802932592
"2016-12-25",72.1,0.392422516472122,0.0870735641900902,0.364035350667039,0.0584463238341328,1.41614532792212
"2016-12-26",37.7,0.311175713870972,0.0790770735368377,0.291228067956188,0.0456732629108116,1.13015865018118
"2016-12-27",22.3,0.257634432916026,0.0727746688524531,0.243203778790359,0.0372776257709315,0.941547136055455
"2016-12-28",15.2,0.224341524664875,0.0682742475092517,0.21329442352184,0.0320757124348407,0.824118635233408
"2016-12-29",11.3,0.2015060331363,0.0648634326276561,0.192745296356695,0.0285205934403428,0.743469103649915
