Dates	Flow	wwTHg
10d	6n	6n
2016-12-11	422.0	41.300
2016-12-16	1620.0	247.300
2016-12-17	1200.0	49.800
2017-01-04	40.3	172.450
2017-01-08	1940.0	300.480
2017-01-09	18700.0	579.100
2017-01-11	12100.0	604.000
2017-01-14	3410.0	675.490
2017-01-19	4439.5	529.859
2017-01-20	4910.0	354.310
2017-01-21	9530.0	372.430
2017-01-24	423.0	349.631
2017-02-02	3080.0	101.480
2017-02-08	14600.0	430.480
2017-02-10	10600.0	360.270
2017-02-21	11800.0	542.940
2017-03-16	3020.0	76.980
2017-04-04	554.0	65.665
2017-04-26	368.0	28.630
2018-01-09	37.9	34.390
2018-01-10	47.8	12.890
2018-01-25	29.9	4.900
2018-02-12	9.5	1.270
2018-03-07	22.8	2.460
2018-03-23	716.5	85.914
2018-04-07	195.5	52.293
2018-04-08	822.0	83.960
2018-11-30	33.3	3.180
2019-01-17	6280.0	1005.570
2019-01-18	3300.0	125.140
2019-02-03	1910.0	469.910
2019-02-05	2320.0	96.770
2019-02-13	416.0	391.050
2019-02-14	15800.0	658.600
2019-02-15	16200.0	411.740
2019-02-27	24900.0	1050.354
2019-02-28	15200.0	625.240
2019-03-05	5010.0	184.310
2019-03-07	9040.0	337.690
2019-03-28	4460.0	425.795
2019-04-17	1090.0	49.000
