Dates	Flow	fMeHg			
10d	6n	6n			
2016-12-11	422.0	0.040			
2016-12-16	1620.0	0.090			
2016-12-17	1200.0	0.080			
2017-01-04	40.3	0.060			
2017-01-08	1940.0	0.020			
2017-01-09	18700.0	0.050			
2017-01-11	12100.0	0.040			
2017-01-14	3410.0	0.030			
2017-01-19	4439.5	0.031			
2017-01-20	4910.0	0.030			
2017-01-21	9530.0	0.023			
2017-01-24	423.0	0.016			
2017-02-02	3080.0	0.010			
2017-02-08	14600.0	0.030			
2017-02-10	10600.0	0.050			
2017-02-21	11800.0	0.040			
2017-03-16	3020.0	0.020			
2017-04-04	554.0	0.050			
2017-04-26	368.0	0.060			
2018-01-09	37.9	0.070			
2018-01-10	47.8	0.030			
2018-01-25	29.9	0.030			
2018-02-12	9.5	0.030			
2018-03-07	22.8	0.030			
2018-03-23	716.5	0.089			
2018-04-07	195.5	0.077			
2018-04-08	822.0	0.191			
2018-11-30	33.3	0.060			
2019-01-17	6280.0	0.050			
2019-01-18	3300.0	0.049			
2019-02-03	1910.0	0.059			
2019-02-05	2320.0	0.060			
2019-02-13	416.0	0.040			
2019-02-14	15800.0	0.030			
2019-02-15	16200.0	0.040			
2019-02-27	24900.0	0.045			
2019-02-28	15200.0	0.030			
2019-03-05	5010.0	0.020			
2019-03-07	9040.0	0.030			
2019-03-28	4460.0	0.050			
2019-04-17	1090.0	0.050			
