"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2016-10-01",0,0,0,0,0,0
"2016-10-02",0,0,0,0,0,0
"2016-10-03",0,0,0,0,0,0
"2016-10-04",17.6,5.89880458273058e-05,1.53452947393807e-05,4.8489850994233e-05,1.06535880252302e-05,0.000194907199212061
"2016-10-05",2.27,4.27524020484095e-06,1.59289087626734e-06,3.69474837576069e-06,7.1406516944474e-07,1.46528138683432e-05
"2016-10-06",0,0,0,0,0,0
"2016-10-07",0,0,0,0,0,0
"2016-10-08",0,0,0,0,0,0
"2016-10-09",0,0,0,0,0,0
"2016-10-10",0,0,0,0,0,0
"2016-10-11",0,0,0,0,0,0
"2016-10-12",0,0,0,0,0,0
"2016-10-13",0,0,0,0,0,0
"2016-10-14",0,0,0,0,0,0
"2016-10-15",0,0,0,0,0,0
"2016-10-16",0,0,0,0,0,0
"2016-10-17",0,0,0,0,0,0
"2016-10-18",0,0,0,0,0,0
"2016-10-19",0,0,0,0,0,0
"2016-10-20",0,0,0,0,0,0
"2016-10-21",0,0,0,0,0,0
"2016-10-22",0,0,0,0,0,0
"2016-10-23",0,0,0,0,0,0
"2016-10-24",0,0,0,0,0,0
"2016-10-25",0,0,0,0,0,0
"2016-10-26",0,0,0,0,0,0
"2016-10-27",0,0,0,0,0,0
"2016-10-28",0,0,0,0,0,0
"2016-10-29",0,0,0,0,0,0
"2016-10-30",0,0,0,0,0,0
"2016-10-31",0,0,0,0,0,0
"2016-11-01",0,0,0,0,0,0
"2016-11-02",0,0,0,0,0,0
"2016-11-03",0,0,0,0,0,0
"2016-11-04",0,0,0,0,0,0
"2016-11-05",0,0,0,0,0,0
"2016-11-06",0,0,0,0,0,0
"2016-11-07",0,0,0,0,0,0
"2016-11-08",0,0,0,0,0,0
"2016-11-09",0,0,0,0,0,0
"2016-11-10",0,0,0,0,0,0
"2016-11-11",0,0,0,0,0,0
"2016-11-12",0,0,0,0,0,0
"2016-11-13",0,0,0,0,0,0
"2016-11-14",0,0,0,0,0,0
"2016-11-15",0,0,0,0,0,0
"2016-11-16",0,0,0,0,0,0
"2016-11-17",0,0,0,0,0,0
"2016-11-18",0,0,0,0,0,0
"2016-11-19",0,0,0,0,0,0
"2016-11-20",0,0,0,0,0,0
"2016-11-21",0,0,0,0,0,0
"2016-11-22",0,0,0,0,0,0
"2016-11-23",0,0,0,0,0,0
"2016-11-24",0,0,0,0,0,0
"2016-11-25",0,0,0,0,0,0
"2016-11-26",0,0,0,0,0,0
"2016-11-27",0,0,0,0,0,0
"2016-11-28",0,0,0,0,0,0
"2016-11-29",0,0,0,0,0,0
"2016-11-30",0,0,0,0,0,0
"2016-12-01",0,0,0,0,0,0
"2016-12-02",0,0,0,0,0,0
"2016-12-03",0,0,0,0,0,0
"2016-12-04",0,0,0,0,0,0
"2016-12-05",0,0,0,0,0,0
"2016-12-06",0,0,0,0,0,0
"2016-12-07",0,0,0,0,0,0
"2016-12-08",0,0,0,0,0,0
"2016-12-09",0,0,0,0,0,0
"2016-12-10",0,0,0,0,0,0
"2016-12-11",180,0.00114601099447212,0.000183741399427252,0.000912330399001807,0.000217334302923475,0.00369879527761479
"2016-12-12",134,0.000786998284678263,0.000134401241909692,0.000628230446376543,0.000148637966882223,0.00254513245230637
"2016-12-13",37,0.000152454700841898,3.42252968625099e-05,0.000123709695214854,2.80860154705895e-05,0.00049898549710605
"2016-12-14",15.4,4.97268080529881e-05,1.32696660781565e-05,4.09836483965993e-05,8.94494598471952e-06,0.000164620482835237
"2016-12-15",14.9,4.76709073943563e-05,1.28007499614908e-05,3.9315102907924e-05,8.5664290644852e-06,0.000157890501879804
"2016-12-16",2110,0.0261132127532665,0.00322601073098473,0.0206165201888979,0.00501448140672013,0.0837704433379027
"2016-12-17",832,0.00802296853663697,0.000997570025746306,0.00633518360654237,0.00154027130212547,0.0257404502081601
"2016-12-18",286,0.00206576905267535,0.000301275747335721,0.00163877671518347,0.000393838905759528,0.00665023191274471
"2016-12-19",121,0.000691056262228272,0.000120644389097049,0.000552211778898471,0.000130314847142325,0.00223654306844214
"2016-12-20",62.8,0.000299497898030572,6.02052603611412e-05,0.000241177821635926,5.58208742286208e-05,0.000974789722867015
"2016-12-21",40.1,0.00016895053807937,3.73069364999821e-05,0.000136924612539372,3.11841676581061e-05,0.000552472491672967
"2016-12-22",26.3,9.85747452219183e-05,2.37079592150096e-05,8.04396787340075e-05,1.8004540895569e-05,0.000323966587621269
"2016-12-23",22.1,7.89204396816194e-05,1.96441305978968e-05,6.45997964225113e-05,1.43468436917393e-05,0.000259957734013305
"2016-12-24",34.4,0.000138908568158645,3.16515061895034e-05,0.000112847817526132,2.55454268165467e-05,0.000455033164511691
"2016-12-25",72.1,0.000357185891025363,6.97186310930034e-05,0.000287119532689423,6.67534608683191e-05,0.00116103151957253
"2016-12-26",37.7,0.000156147504527267,3.49199692910191e-05,0.000126669127410378,2.87791816654604e-05,0.000510962518915181
