Dates	Flow	pTHg			
10d	6n	6n			
2016-12-11	422.0	40.300			
2016-12-16	1620.0	235.000			
2016-12-17	1200.0	41.600			
2017-01-04	40.3	168.000			
2017-01-08	1940.0	295.000			
2017-01-09	18700.0	569.000			
2017-01-11	12100.0	593.000			
2017-01-14	3410.0	673.000			
2017-01-19	4439.5	525.684			
2017-01-20	4910.0	350.000			
2017-01-21	9530.0	367.000			
2017-01-24	423.0	347.965			
2017-02-02	3080.0	100.000			
2017-02-08	14600.0	426.000			
2017-02-10	10600.0	354.000			
2017-02-21	11800.0	538.000			
2017-03-16	3020.0	75.800			
2017-04-04	554.0	64.100			
2017-04-26	368.0	27.400			
2018-01-09	37.9	31.800			
2018-01-10	47.8	11.500			
2018-01-25	29.9	4.060			
2018-02-12	9.5	0.620			
2018-03-07	22.8	1.370			
2018-03-23	716.5	83.016			
2018-04-07	195.5	50.772			
2018-04-08	822.0	74.600			
2018-11-30	33.3	1.500			
2019-01-17	6280.0	997.000			
2019-01-18	3300.0	117.000			
2019-02-03	1910.0	462.000			
2019-02-05	2320.0	89.600			
2019-02-13	416.0	385.000			
2019-02-14	15800.0	645.000			
2019-02-15	16200.0	402.000			
2019-02-27	24900.0	1031.863			
2019-02-28	15200.0	619.000			
2019-03-05	5010.0	183.000			
2019-03-07	9040.0	335.000			
2019-03-28	4460.0	421.500			
2019-04-17	1090.0	47.700			
