Dates	Flow	fTHg	
10d	6n	6n	
2010-01-21	5879.86	5.78	
2010-02-17	162.07	2.90	
2010-03-09	355.85	2.72	
2010-04-06	427.54	2.08	
2010-05-04	1613.77	1.94	
2010-06-01	22.19	1.30	
2010-12-08	129.12	1.85	
2010-12-20	307.84	1.10	
2010-12-21	1420.36	6.63	
2010-12-23	789.78	5.82	
2010-12-30	1616.39	5.85	
2011-01-04	932.98	6.11	
2011-01-26	87.99	1.64	
2011-02-03	56.32	1.64	
2011-02-17	1375.65	7.28	
2011-02-18	2070.18	7.47	
2011-02-28	339.87	5.10	
2011-03-15	1758.40	1.61	
2011-03-17	2698.60	4.45	
2011-03-19	4103.50	3.64	
2011-03-22	4997.96	1.94	
2011-03-25	12222.26	4.61	
2011-04-04	3925.75	1.16	
2011-04-26	99.31	1.31	
2011-05-24	28.99	1.08	
2011-10-26	0.00	0.66	
2011-12-29	9.40	0.72	
2012-01-23	157.04	1.09	
2012-01-24	686.44	3.79	
2012-02-15	31.62	1.06	
2012-03-06	29.92	1.03	
2012-03-14	23.90	0.81	
2012-03-15	320.08	1.38	
2012-03-16	294.69	6.33	
2012-03-17	274.38	5.06	
2012-03-18	389.86	3.90	
2012-03-20	217.83	4.52	
2012-03-28	1718.12	2.90	
2012-03-29	1228.51	9.31	
2012-04-13	510.65	1.71	
2012-12-01	1886.84	13.71	
2012-12-02	1276.58	11.70	
2012-12-03	2711.21	11.10	
2012-12-05	305.35	6.40	
2012-12-22	3602.78	12.50	
2012-12-23	2350.65	10.90	
2012-12-24	7037.66	14.23	
2012-12-27	930.45	6.47	
2013-01-16	99.31	1.79	
2013-02-04	59.47	1.29	
2013-02-21	47.56	1.79	
2013-04-01	6.82	1.09	
2014-03-02	204.19	2.33	
2014-03-03	101.91	10.10	
2014-03-05	39.00	7.79	
2014-04-02	100.91	3.84	
2014-04-03	194.81	2.53	
2014-12-05	147.66	16.30	
2014-12-12	9946.37	17.91	
2014-12-13	1214.71	9.39	
2014-12-15	287.92	7.32	
2014-12-16	1946.01	14.10	
2014-12-20	1459.29	11.90	
2015-01-16	0.00	1.95	
2015-02-07	4907.69	8.33	
2015-02-08	823.97	7.53	
2015-02-09	1961.88	5.52	
2015-02-10	866.57	9.55	
2016-01-07	16.05	2.42	
2016-01-08	140.51	6.65	
2016-01-09	176.34	11.50	
2016-01-18	534.64	7.28	
2016-01-19	790.48	7.30	
2016-01-20	1175.68	5.40	
2016-03-06	2240.27	4.69	
2016-03-07	2424.01	9.70	
2016-03-11	3488.93	8.66	
2016-03-12	3046.06	8.50	
2016-03-13	3391.87	7.41	
2016-03-17	2214.81	1.93	
2016-04-07	271.59	1.14	
2016-12-12	164.34	10.90	
2016-12-16	2650.34	9.28	
2016-12-17	1068.74	8.62	
2017-01-05	1138.19	10.80	
2017-01-08	3194.36	7.32	
2017-01-09	12667.84	12.00	
2017-01-11	16016.69	9.02	
2017-01-14	3672.03	2.74	
2017-01-19	8889.83	5.23	
2017-01-20	6859.00	4.70	
2017-01-21	6983.61	4.00	
2017-01-24	5149.30	1.64	
2017-02-02	3483.06	1.52	
2017-02-08	9238.40	4.46	
2017-02-10	11745.16	7.89	
2017-02-21	15371.74	4.81	
2017-03-16	3298.35	1.56	
2017-04-04	574.51	1.45	
2017-04-26	384.45	1.11	
