Dates	Flow	wwMeHg
10d	6n	6n
2010-01-21	5879.86	1.82
2010-02-17	162.07	0.18
2010-03-09	355.85	0.17
2010-04-06	427.54	0.42
2010-05-04	1613.77	0.89
2010-06-01	22.19	0.23
2010-12-08	129.12	0.14
2010-12-20	543.85	0.42
2010-12-21	1420.36	1.42
2010-12-23	789.78	0.45
2010-12-30	1616.39	1.02
2011-01-04	932.98	0.56
2011-01-26	87.99	0.14
2011-02-03	56.32	0.07
2011-02-17	1375.65	1.31
2011-02-18	2070.18	0.92
2011-02-28	339.87	0.21
2011-03-15	1758.40	0.66
2011-03-17	2698.60	1.12
2011-03-19	4103.50	1.35
2011-03-22	4997.96	1.29
2011-03-25	12222.26	2.41
2011-04-04	3925.75	0.78
2011-04-26	99.31	0.13
2011-05-24	28.99	0.19
2011-10-26	0.001	0.16
2011-12-29	9.40	0.06
2012-01-23	157.04	0.08
2012-01-24	686.44	0.47
2012-02-15	31.62	0.32
2012-03-06	29.92	0.16
2012-03-14	23.90	0.16
2012-03-15	320.08	0.32
2012-03-16	294.69	0.45
2012-03-17	274.38	0.35
2012-03-18	389.86	0.38
2012-03-20	217.83	0.29
2012-03-28	1718.12	3.41
2012-03-29	1228.51	1.01
2012-04-13	510.65	0.39
2012-12-01	1886.84	2.06
2012-12-02	1276.58	0.52
2012-12-03	2711.21	1.67
2012-12-05	305.35	0.23
2012-12-22	3602.78	1.69
2012-12-23	2350.65	1.07
2012-12-24	7037.66	2.04
2012-12-27	930.45	0.28
2013-01-16	99.31	0.12
2013-02-04	59.47	0.06
2013-02-21	47.56	0.09
2013-04-01	6.82	0.29
2014-03-02	204.19	0.37
2014-03-03	101.91	0.39
2014-03-05	39.00	0.29
2014-04-02	100.91	3.19
2014-04-03	194.81	0.43
2014-12-05	147.66	1.11
2014-12-12	9946.37	1.25
2014-12-13	1214.71	0.48
2014-12-20	1459.29	0.84
2015-02-07	4907.69	2.27
2015-02-08	823.97	0.54
2015-02-09	1961.88	0.81
2015-02-10	866.57	0.31
2016-01-07	16.05	0.58
2016-01-08	140.51	0.39
2016-01-09	176.34	0.35
2016-01-18	534.64	0.35
2016-01-19	790.48	0.90
2016-01-20	1175.68	1.07
2016-03-06	2240.27	9.51
2016-03-07	2424.01	2.34
2016-03-11	3488.93	1.16
2016-03-12	3046.06	1.16
2016-03-13	3391.87	1.79
2016-03-17	2214.81	0.73
2016-04-07	271.59	0.57
2016-12-12	164.34	0.52
2016-12-16	2650.34	3.03
2016-12-17	1068.74	0.74
2017-01-05	1138.19	0.91
2017-01-08	3194.36	1.78
2017-01-09	12667.84	1.96
2017-01-11	16016.69	1.75
2017-01-14	3672.03	0.74
2017-01-19	8889.83	1.71
2017-01-20	6859.00	1.30
2017-01-21	6983.61	0.91
2017-01-24	5149.30	0.63
2017-02-02	3483.06	0.44
2017-02-08	9238.40	1.12
2017-02-10	11745.16	1.57
2017-02-21	15371.74	1.73
2017-03-16	3298.35	0.37
2017-04-04	574.51	0.19
2017-04-26	384.45	1.73
1900-01-00		
1900-01-00		
1900-01-00		
