Dates	Flow	wwTHg				
10d	6n	6n				
2010-01-21	5879.86	246.78				
2010-02-17	162.07	4.83				
2010-03-09	355.85	5.87				
2010-04-06	427.54	15.68				
2010-05-04	1613.77	55.64				
2010-06-01	22.19	3.53				
2010-12-08	129.12	4.95				
2010-12-20	543.85	9.63				
2010-12-21	1420.36	58.63				
2010-12-23	789.78	35.82				
2010-12-30	1616.39	62.65				
2011-01-04	932.98	23.91				
2011-01-26	87.99	4.42				
2011-02-03	56.32	18.24				
2011-02-17	1375.65	21.18				
2011-02-18	2070.18	103.57				
2011-02-28	339.87	13.78				
2011-03-15	1758.40	56.91				
2011-03-17	2698.60	102.45				
2011-03-19	4103.50	141.64				
2011-03-22	4997.96	196.94				
2011-03-25	12222.26	547.61				
2011-04-04	3925.75	111.16				
2011-04-26	99.31	2.54				
2011-05-24	28.99	3.83				
2011-10-26	0.001	3.91				
2011-12-29	9.40	1.38				
2012-01-23	157.04	2.65				
2012-01-24	686.44	15.63				
2012-02-15	31.62	3.86				
2012-03-06	29.92	2.73				
2012-03-14	23.90	4.20				
2012-03-15	320.08	9.75				
2012-03-16	294.69	18.81				
2012-03-17	274.38	12.50				
2012-03-18	389.86	13.58				
2012-03-20	217.83	9.76				
2012-03-28	1718.12	306.84				
2012-03-29	1228.51	127.31				
2012-04-13	510.65	12.31				
2012-12-01	1886.84	256.15				
2012-12-02	1276.58	69.30				
2012-12-03	2711.21	395.10				
2012-12-05	305.35	23.60				
2012-12-22	3602.78	267.50				
2012-12-23	2350.65	85.30				
2012-12-24	7037.66	461.23				
2012-12-27	930.45	33.27				
2013-01-16	99.31	5.30				
2013-02-04	59.47	2.62				
2013-02-21	47.56	4.57				
2013-04-01	6.82	3.26				
2014-03-02	204.19	9.24				
2014-03-03	101.91	25.30				
2014-03-05	39.00	21.69				
2014-04-02	100.91	5.50				
2014-04-03	194.81	6.22				
2014-12-05	147.66	173.30				
2014-12-12	9946.37	753.67				
2014-12-13	1214.71	164.39				
2014-12-15	287.92	30.52				
2014-12-16	1946.01	437.10				
2014-12-20	1459.29	540.90				
2015-01-16	0.001	3.28				
2015-02-07	5086.00	921.34				
2015-02-08	823.97	156.53				
2015-02-09	1961.88	287.52				
2015-02-10	866.57	100.05				
2016-01-07	16.05	75.57				
2016-01-08	140.51	63.45				
2016-01-09	176.34	65.80				
2016-01-18	534.64	62.63				
2016-01-19	790.48	175.30				
2016-01-20	1175.68	169.00				
2016-03-06	2240.27	1184.69				
2016-03-07	2424.01	477.70				
2016-03-11	3488.93	315.66				
2016-03-12	3046.06	254.50				
2016-03-13	3391.87	357.41				
2016-03-17	2214.81	98.43				
2016-04-07	271.59	8.66				
2016-12-12	164.34	44.10				
2016-12-16	2650.34	341.28				
2016-12-17	1068.74	59.42				
2017-01-05	1138.19	132.80				
2017-01-08	3194.36	207.32				
2017-01-09	12667.84	719.00				
2017-01-11	16016.69	469.02				
2017-01-14	3672.03	104.74				
2017-01-19	8889.83	542.45				
2017-01-20	6859.00	408.70				
2017-01-21	6983.61	208.00				
2017-01-24	5149.30	181.64				
2017-02-02	3483.06	304.02				
2017-02-08	9238.40	347.46				
2017-02-10	11745.16	309.89				
2017-02-21	15371.74	592.81				
2017-03-16	3298.35	55.36				
2017-04-04	574.51	11.55				
2017-04-26	384.45	67.51				
