"DateTime","Cl","parm_cd"
"2010-12-08 15:20:00",162,"'00940'"
"2010-12-20 08:30:00",113,"'00940'"
"2010-12-20 16:00:00",146,"'00940'"
"2010-12-21 15:40:00",48.7,"'00940'"
"2010-12-23 10:30:00",43.1,"'00940'"
"2010-12-30 13:30:00",19.9,"'00940'"
"2011-01-04 14:40:00",39,"'00940'"
"2011-01-26 09:00:00",82.5,"'00940'"
"2011-02-03 13:50:00",88.9,"'00940'"
"2011-02-17 05:40:00",21.7,"'00940'"
"2011-02-18 09:50:00",25.7,"'00940'"
"2011-02-28 11:00:00",43,"'00940'"
"2011-03-15 09:00:00",18.2,"'00940'"
"2011-03-17 09:30:00",13.7,"'00940'"
"2011-03-19 19:40:00",11.4,"'00940'"
"2011-03-22 11:50:00",12.8,"'00940'"
"2011-03-25 08:30:00",7.66,"'00940'"
"2011-04-04 06:50:00",13.4,"'00940'"
"2011-04-26 09:00:00",39.7,"'00940'"
"2011-05-24 10:30:00",43.9,"'00940'"
"2011-10-26 12:50:00",51.4,"'00940'"
"2011-12-29 15:00:00",74.3,"'00940'"
"2012-01-23 09:00:00",72.1,"'00940'"
"2012-01-23 15:00:00",58.4,"'00940'"
"2012-01-24 09:10:00",115,"'00940'"
"2012-01-24 15:20:00",166,"'00940'"
"2012-02-15 12:30:00",97,"'00940'"
"2012-03-14 18:30:00",89.2,"'00940'"
"2012-03-15 09:50:00",130,"'00940'"
"2012-03-16 13:30:00",78.5,"'00940'"
"2012-03-17 12:40:00",67.6,"'00940'"
"2012-03-18 08:50:00",78.8,"'00940'"
"2012-03-20 11:20:00",72.3,"'00940'"
"2012-03-28 12:30:00",95.6,"'00940'"
"2012-03-28 16:40:00",31.4,"'00940'"
"2012-03-29 11:40:00",29,"'00940'"
"2012-04-13 11:50:00",79.8,"'00940'"
"2012-12-01 09:40:00",28.7,"'00940'"
"2012-12-02 16:00:00",51.7,"'00940'"
"2012-12-03 10:35:00",14.9,"'00940'"
"2012-12-05 13:00:00",54,"'00940'"
"2012-12-22 10:40:00",23.8,"'00940'"
"2012-12-23 09:00:00",17.8,"'00940'"
"2012-12-24 10:00:00",10.3,"'00940'"
"2012-12-27 12:40:00",32.9,"'00940'"
"2013-01-16 10:00:00",72.3,"'00940'"
"2013-02-04 12:30:00",82.3,"'00940'"
"2013-02-21 10:30:00",83.6,"'00940'"
"2013-04-01 15:40:00",63.6,"'00940'"
"2014-03-02 13:30:00",205,"'00940'"
"2014-03-03 11:00:00",271,"'00940'"
"2014-03-05 11:00:00",143,"'00940'"
"2014-04-02 15:00:00",134,"'00940'"
"2014-04-03 10:30:00",110,"'00940'"
"2014-12-05 13:00:00",97.5,"'00940'"
"2014-12-12 11:10:00",16.5,"'00940'"
"2014-12-12 12:50:00",19.3,"'00940'"
"2014-12-13 11:40:00",46.8,"'00940'"
"2014-12-15 13:40:00",90.8,"'00940'"
"2014-12-16 15:30:00",40.6,"'00940'"
"2014-12-20 11:30:00",38,"'00940'"
"2015-01-16 14:30:00",119,"'00940'"
"2015-02-07 15:20:00",35.3,"'00940'"
"2015-02-07 16:40:00",26.4,"'00940'"
"2015-02-08 13:20:00",31.2,"'00940'"
"2015-02-09 12:10:00",40.4,"'00940'"
"2015-02-10 11:30:00",35.4,"'00940'"
"2016-01-07 14:10:00",147,"'00940'"
"2016-01-07 16:50:00",188,"'00940'"
"2016-01-08 12:40:00",87.6,"'00940'"
"2016-01-09 11:50:00",92.1,"'00940'"
"2016-01-18 12:30:00",75.3,"'00940'"
"2016-01-18 15:40:00",84.2,"'00940'"
"2016-01-19 10:40:00",36.2,"'00940'"
"2016-01-20 11:10:00",41.7,"'00940'"
"2016-01-20 12:30:00",34.3,"'00940'"
"2016-01-20 15:40:00",46.7,"'00940'"
"2016-03-06 16:40:00",42.1,"'00940'"
"2016-03-07 17:10:00",37.7,"'00940'"
"2016-03-11 16:50:00",24,"'00940'"
"2016-03-12 13:00:00",21.4,"'00940'"
"2016-03-13 11:40:00",18.6,"'00940'"
"2016-03-17 11:40:00",15.8,"'00940'"
"2016-04-07 12:00:00",34.8,"'00940'"
"2016-12-12 12:10:00",203,"'00940'"
"2016-12-16 15:50:00",47.7,"'00940'"
"2016-12-17 14:10:00",30.8,"'00940'"
"2017-01-05 11:10:00",74.7,"'00940'"
"2017-01-08 16:20:00",33.2,"'00940'"
"2017-01-09 15:20:00",9.86,"'00940'"
"2017-01-11 14:30:00",7.55,"'00940'"
"2017-01-14 14:00:00",16.9,"'00940'"
"2017-01-19 11:20:00",14.4,"'00940'"
"2017-01-19 15:40:00",14.7,"'00940'"
"2017-01-20 15:10:00",18.4,"'00940'"
"2017-01-21 13:40:00",12.6,"'00940'"
"2017-01-24 13:10:00",16.4,"'00940'"
"2017-02-02 12:40:00",16,"'00940'"
"2017-02-08 12:40:00",10.4,"'00940'"
"2017-02-10 13:10:00",8.76,"'00940'"
"2017-02-21 12:20:00",8.1,"'00940'"
"2017-03-16 13:20:00",14.3,"'00940'"
"2017-04-04 13:40:00",32.5,"'00940'"
"2017-04-26 12:30:00",40.4,"'00940'"
